Genes	ES1	ES2	DE3	DE2	DE3	ES1	D4CF2	D4CF3	FS1	FS2	AS1	AS2	AS3
MST1P2	1.11232	1.19834	1.67016	1.22456	1.67016	1.11232	1.04274	1	4.18066	10.3612	1.02413	15.8483	14.2521
MSX1	1.18915	1.10438	1.10851	1.36015	1.10851	1.18915	60.5651	59.0851	1.75158	2.6931	43.6008	1	1.61085
MT1HL1	7.68337	4.68808	1	1	1	7.68337	1	1	100.529	131.1	1	1	1
MT4	1	1	1	1	1	1	1	1	1	1	1	1	1
MTFMT	8.35037	8.28209	7.60887	8.36588	7.60887	8.35037	8.11568	10.1474	4.01106	5.46073	7.67205	5.26094	6.1536
MTHFD1	100.667	103.006	32.3815	35.7277	32.3815	100.667	57.9762	66.0816	13.3887	19.507	56.6291	6.93062	12.9087
MTHFD2L	2.59717	2.98657	2.59986	2.3395	2.59986	2.59717	3.21898	3.97018	2.45458	2.2408	3.5054	1.55886	2.27563
MTPAP	13.3874	12.7565	8.54637	10.176	8.54637	13.3874	11.1536	11.304	6.12828	6.79008	10.3621	6.76504	6.6247
MTRNR2L5	1	1	1	1	1	1	1	1	1.02653	1	1	1	1
MTX2	56.6466	58.5475	46.3728	65.0463	46.3728	56.6466	69.2635	87.9606	20.5183	19.8497	63.8	29.3951	20.451
MUC2	1.01298	1	1	1	1	1.01298	1	1	105.746	110.751	1	4.4215	41.4545
MUC20	1.1166	1.03216	1.06689	1.08325	1.06689	1.1166	1.0832	1.02667	11.9474	9.72338	1.09394	19.0075	10.7672
MUC22	1.00942	1.02079	1	1	1	1.00942	1	1	1	1.01485	1	1	1
MXI1	6.74583	6.74495	16.2018	22.7319	16.2018	6.74583	23.4867	23.7053	13.6527	8.64772	24.6738	25.9596	12.2174
MYADML	1	1	1	1	1	1	1	1	1	1	1	1	1
MYBBP1A	12.5193	12.0963	7.35634	4.56127	7.35634	12.5193	7.80733	4.90613	10.3735	13.7961	8.0114	4.97424	8.39271
MYBL1	3.6243	4.02346	1.99645	2.34792	1.99645	3.6243	3.17439	4.13579	2.05116	1.49311	3.06453	1.25004	1.72427
MYBL2	39.645	38.8466	70.0932	33.0804	70.0932	39.645	29.7867	18.8781	8.06632	6.26147	29.2142	2.92492	24.4041
MYCBP2-AS1	1	1.36153	1	1	1	1	1	1	1.31478	1	1	1	1
MYH16	1.05296	1	1	1	1	1.05296	1.02519	1	1.01973	1.08363	1	1	1
MYL1	1	1	1	1	1	1	1	1	2.72405	10.4189	1	2.85043	1
MYL12A	211.59	199.772	267.396	344.424	267.396	211.59	165.044	182.678	87.9557	112.075	158.851	616.405	251.401
MYL12B	189.348	177.334	197.116	278.53	197.116	189.348	155.558	184.431	178.267	266.253	152.362	1451.49	578.878
MYO3A	2.15533	2.01575	10.65	12.0035	10.65	2.15533	2.51833	2.29048	1.63497	1.5172	2.52501	1	1.03778
MYOM1	1.17344	1.18016	1.32777	1.46621	1.32777	1.17344	1.1754	1.16809	3.52436	3.45399	1.03288	3.01836	1.72858
MYRIP	1.94881	1.82185	2.61022	3.46133	2.61022	1.94881	1.14611	1.14643	3.42672	2.93041	1.21152	1.54137	5.12291
MYSM1	34.0662	35.6045	62.6416	68.8989	62.6416	34.0662	12.5788	14.7973	13.4382	15.0118	12.2811	5.91908	5.63795
MYT1L-AS1	1	1	1	1	1	1	1	1	1.0134	1	1	1	1
MYZAP	1.8099	2.14896	1.47483	1.28031	1.47483	1.8099	2.09819	3.31501	11.2801	13.4485	2.54307	37.2774	9.36701
N4BP2L2	36.1878	37.399	26.2531	28.7594	26.2531	36.1878	40.7295	45.8762	34.4197	36.2178	37.7665	21.9131	21.0633
N6AMT1	7.45622	7.84065	8.88083	11.0496	8.88083	7.45622	10.7075	10.7779	10.6016	11.5052	8.60616	5.34268	4.85824
NAA30	11.7195	12.8448	14.7671	18.2986	14.7671	11.7195	16.5774	20.2015	12.4988	13.9527	16.1422	5.5011	8.53154
NAAA	2.51129	2.35851	1.38352	1.18811	1.38352	2.51129	1.48457	1.36638	30.4401	26.4645	1.68014	14.2809	4.7582
NAALADL2	1.03481	1.1793	1.10652	1.19885	1.10652	1.03481	1.75073	1.81785	3.76798	4.11119	1.62326	1.5103	1.78387
NAALADL2-AS3	1	1	1	1	1	1	1	1	1	1	1	1	1
NACA	670.703	628.352	485.74	539.717	485.74	670.703	936.844	922.714	271.429	549.761	887.47	1164.15	210.211
NACA2	207.078	184.976	142.871	180.326	142.871	207.078	290.91	316.402	68.0538	67.1332	266.95	13.9405	33.5919
NAF1	20.1646	21.261	11.3811	15.0576	11.3811	20.1646	19.2372	24.1921	11.2339	7.71013	18.2405	5.25359	3.55316
NAIP	1	1.038	1.04418	1.02458	1.04418	1	1.04579	1.06167	1.16042	1.41394	1.03102	1	1.16712
NAP1L1	288.692	295.596	153.842	207.085	153.842	288.692	436.358	481.821	35.6731	41.8929	416.274	39.863	24.2029
NARS	185.514	179.375	107.596	151.727	107.596	185.514	113.725	132.564	45.7997	58.9679	126.4	91.889	80.3108
NASP	388.617	392.094	179.089	217.881	179.089	388.617	274.788	317.691	29.4228	32.0482	255.752	37.0767	27.2618
NAV2	21.8891	22.1	7.57377	5.8133	7.57377	21.8891	9.28158	6.73355	6.94422	3.11774	9.36677	2.16269	6.3333
NBEA	18.7035	19.4146	13.7433	14.4702	13.7433	18.7035	4.20135	5.01157	8.07212	2.16256	4.99676	3.78222	2.84437
NBEAL1	2.05516	2.55952	4.34881	4.57748	4.34881	2.05516	2.06843	2.32724	4.50531	4.41424	1.90144	2.35534	1.99927
NBEAP1	1	1	1	1	1	1	1	1	1	1	1	1	1
NCAM1	3.36294	3.65001	5.7	6.32124	5.7	3.36294	8.25247	13.5145	42.018	6.99548	16.1536	2.78943	9.47084
NCAM1-AS1	1	1	1.28072	1	1.28072	1	1	1	5.774	1.35525	1.12057	1	1.23889
NCAPG	31.8011	32.9288	30.0836	41.6977	30.0836	31.8011	45.126	59.0055	6.66577	6.24721	40.4339	1.2707	5.67288
NCCRP1	1.83386	2.09072	1.17718	1	1.17718	1.83386	1.3232	1.11307	1.09204	1.73172	1.29857	1.68152	1.05983
NCF1C	1	1	1	1.06302	1	1	1	1	1.13147	1.17444	1	5.88138	2.45732
NCK1	10.7246	10.9375	8.26898	10.9362	8.26898	10.7246	14.9147	16.3207	8.93204	7.42445	13.6371	8.97802	8.92341
NCK1-AS1	7.12611	8.51166	3.41516	4.01269	3.41516	7.12611	8.23558	5.76315	3.49418	4.20685	4.0647	4.17199	2.1858
NCK2	26.5275	26.3478	25.0695	24.3406	25.0695	26.5275	18.0525	19.8255	36.7848	36.1598	21.6599	110.678	67.0283
NCKAP5L	2.58223	2.56648	3.41612	1.6147	3.41612	2.58223	2.98125	1.84124	6.14251	4.40354	3.01204	3.30223	4.79466
NCOA5	22.3767	20.5367	18.117	23.7063	18.117	22.3767	17.9103	18.9175	19.6026	19.6164	22.4578	13.0153	17.4188
NCOR1	27.0289	28.384	26.1375	27.3591	26.1375	27.0289	23.5813	25.306	25.7329	30.5311	23.053	86.9339	19.7619
NDC80	36.5061	36.0811	28.5523	44.7656	28.5523	36.5061	54.5881	68.7669	6.6882	6.5893	51.6944	2.22449	5.35378
NDFIP2	12.538	13.016	13.5202	18.1599	13.5202	12.538	17.6407	23.11	18.6306	29.7576	17.9955	22.6202	16.9451
NDFIP2-AS1	1	1	1	1	1	1	1	1	1	1	1	1	1
NDUFAF4P1	1.02572	1.05678	1	1.14694	1	1.02572	1.07341	1.07063	1.01917	1.14214	1.05526	1	1
NDUFB4	119.898	113.223	175.256	121.226	175.256	119.898	111.851	71.189	61.4485	83.8251	99.1218	216.038	87.4703
NDUFB9	172.861	157.316	112.493	121.432	112.493	172.861	106.769	101.398	66.8055	94.8121	116.433	378.482	283.557
NDUFS2	71.9797	68.5951	53.241	55.5328	53.241	71.9797	68.988	65.2588	31.3214	46.0884	60.8155	151.915	26.516
NDUFV2	74.8219	74.9165	35.1054	60.8552	35.1054	74.8219	60.1358	74.768	21.7204	26.9441	54.1889	106.502	42.7751
NEBL-AS1	1	1	1	1	1	1	1	1	1	1	1	1	1.35157
NEDD4	7.63458	7.31904	7.11059	9.34408	7.11059	7.63458	12.0567	13.8092	11.1753	13.0844	11.2207	6.08455	5.25832
NEIL3	11.2655	10.5465	7.9302	10.0156	7.9302	11.2655	13.2021	18.2904	2.62988	2.90321	13.896	1	2.97202
NEK2	21.2265	22.0174	19.2988	27.3324	19.2988	21.2265	31.6867	37.1214	5.34698	5.98783	27.644	4.72871	13.7735
NEMF	23.6652	24.8447	24.6852	30.9162	24.6852	23.6652	28.017	32.8521	14.4941	14.7066	26.5901	16.6473	6.92492
NEU4	1	1	1	1	1	1	1	1	8.94161	1.37742	1.03206	90.6292	3.372
NEURL1	1.02658	1.05867	1.06099	1.03796	1.06099	1.02658	1.07586	1.02433	10.5094	14.9185	1.08565	8.89196	9.51819
NEUROD6	1	1	1	1	1	1	1	1	1.39521	1.33063	1	1	1
NEUROG2	1	1	1	1.03745	1	1	1.14972	1.21606	1	1	1.50713	1	1
NF1	14.8037	16.0503	17.2907	20.0553	17.2907	14.8037	13.9247	15.2626	12.6476	11.8448	14.2529	5.83487	5.94946
NF1P2	1	1	1	1	1	1	1	1	1	1	1	1	1
NFATC4	5.04822	4.65654	3.96337	2.34039	3.96337	5.04822	4.08677	3.2223	9.8246	5.06864	5.1197	7.58244	6.91961
NFE2	1.40674	1.57134	1.93285	1.26401	1.93285	1.40674	1.28143	1.37229	1.63331	1.08768	1.51618	1.81692	1.14345
NFIA-AS1	1	1	1	1	1	1	1	1	1	1	1	1	1
NFIX	1.02043	1.04513	1.09387	1.05841	1.09387	1.02043	1.0389	1.04679	12.3755	4.58929	1.17579	6.62127	16.8877
NFYB	31.3334	31.7186	22.1693	30.7265	22.1693	31.3334	32.3005	42.8445	9.27289	9.62489	32.9571	4.66805	8.7599
NGDN	54.5114	53.8819	32.6832	48.6217	32.6832	54.5114	58.5346	61.359	16.9939	18.9143	56.5727	47.5108	17.7907
NGEF	1.58655	1.62424	1.48072	1.26923	1.48072	1.58655	1.45839	1.26843	3.5222	4.13877	1.51755	48.0431	9.82216
NGFRAP1	237.946	218.344	273.155	297.152	273.155	237.946	194.76	221.724	87.9998	69.3951	207.65	14.3057	73.0657
NHLH2	3.30455	3.56965	1.70874	2.08728	1.70874	3.30455	1.09048	1.19595	1	1	1.68684	1	1
NHLRC3	9.14538	9.06325	8.37351	8.19096	8.37351	9.14538	13.9554	13.282	30.9166	47.8782	11.7035	4.88943	6.74066
NHS	5.48767	5.26384	1.90551	2.16618	1.90551	5.48767	5.10018	4.96952	5.74536	3.86092	6.17524	1.45226	2.36289
NIPAL2	2.51833	2.14655	1.97803	2.63565	1.97803	2.51833	1.81095	1.43886	13.7026	18.0763	1.74395	2.17469	4.45477
NIPSNAP3A	10.405	10.7048	16.6165	21.4186	16.6165	10.405	17.7316	21.6461	23.3271	19.1269	17.4683	23.8108	23.0312
NIPSNAP3B	1.28234	1.54532	1.52643	1.40319	1.52643	1.28234	1.20146	1.25843	2.76151	2.03165	1.30329	1	1.27375
NKX1-1	1	1	1	1	1	1	1	1	1	1	1	1	1
NKX2-3	1	1	1	1	1	1	1	1	11.0904	9.34528	1	13.7395	13.3028
NKX2-8	1	1	1	1	1	1	1	1	1	1	1	1	1
NLRC5	1.14245	1.19421	1	1	1	1.14245	1	1	1.75583	2.4797	1.009	6.89211	7.64244
NLRP13	1	1	1	1	1	1	1	1	1.01379	1	1	1	1
NLRP8	1	1	1	1	1	1	1	1	1	1	1	1	1.02829
NME5	2.06914	1.82598	4.98682	3.82447	4.98682	2.06914	6.59437	9.22007	1.91549	1.54982	7.31649	1	1.62422
NOC3L	20.879	20.5703	12.9669	16.6179	12.9669	20.879	29.8351	34.3888	5.9764	6.86744	25.5858	2.11613	6.06208
NOL4	1.53888	1.54864	1.21991	1.18105	1.21991	1.53888	1.31276	1.3772	4.81554	5.71302	1.59558	1	1.15307
NOL7	105.781	94.3235	56.4806	88.9134	56.4806	105.781	91.6872	113.25	38.5558	47.1667	90.2546	100.923	18.7147
NOMO1	8.66194	8.36745	8.65935	8.71874	8.65935	8.66194	9.1122	7.914	3.50798	7.45831	7.67716	7.53892	8.35735
NOMO2	2.77801	2.8488	3.71447	4.08459	3.71447	2.77801	3.82394	3.75718	2.87284	4.66242	3.39923	1.32327	3.41205
NOS2	1.65528	1.70813	1.03133	1.01949	1.03133	1.65528	1.11689	1.13745	1.31544	1.3876	1.14664	1.90083	19.635
NOSTRIN	1.86006	1.58374	1.41689	1.94444	1.41689	1.86006	1.34611	1.33222	9.54182	13.1569	1.17775	26.5843	3.56656
NOTCH2NL	1.97217	2.0258	2.15223	1.90011	2.15223	1.97217	1.86393	1.75302	2.88733	3.09751	1.89515	4.05312	3.37066
NOX1	1.20065	1.24914	1.16987	1.35818	1.16987	1.20065	1.23863	1.36733	17.3513	4.03026	1.32332	1	1
NOX3	1.02969	1	1	1	1	1.02969	1.02825	1.02718	1	1	1.09568	1	1
NOX4	1.37658	1.57239	2.51865	3.45071	2.51865	1.37658	1.76592	1.95747	1.5884	1.49675	2.04886	1	1.08079
NOX5	1	1	1	1	1	1	1	1	1.01602	1.06964	1	1	1
NOXRED1	1.29764	1.1825	1.7589	1.75561	1.7589	1.29764	1.22024	1.27243	1.41884	1.28735	1.35524	1	1.2564
NPB	1	1	1.15179	1	1.15179	1	1	1.12108	1.7864	1.84258	1	9.92819	9.37129
NPEPL1	4.6197	3.66623	6.90615	4.74239	6.90615	4.6197	1.42909	1.2352	13.2054	13.7259	1.97538	20.2936	14.4271
NPIPA2	1.05501	1	1	1	1	1.05501	1	1	1	1	1	1	1
NPIPA3	1.00672	1	1	1	1	1.00672	1	1	1	1	1	1	1
NPIPB5	1.27226	1.33387	1.50329	1.1296	1.50329	1.27226	1.08634	1.06922	1.18038	1.56073	1.17872	2.33116	2.31456
NPVF	1	1	1	1	1	1	1	1	1	1	1	1	1
NPY	1.30692	1.16937	1	1	1	1.30692	3.48198	4.51154	7.61045	54.6084	3.63751	11.4	5.26678
NR0B1	1.07912	1.17465	8.30799	6.93175	8.30799	1.07912	3.29587	3.53468	1.23574	1	3.08227	1	1
NR1H4	1.033	1	1.07587	1	1.07587	1.033	1	1	33.3649	64.0501	1	34.6046	12.2915
NR1I2	1.55946	1.80744	1.02469	1	1.02469	1.55946	1.02047	1.03657	24.3791	38.8393	1.02311	71.1419	25.6321
NR1I3	1.56635	1.14004	1.38812	1.10929	1.38812	1.56635	1.52058	1.26859	1.50443	5.90352	1.24262	5.8852	1
NR2F1	1.04654	1.03424	1.0178	1	1.0178	1.04654	2.19539	2.26364	3.1042	2.27252	3.41612	2.36528	7.38173
NR2F1-AS1	1.68851	1.93204	1.0499	1.06361	1.0499	1.68851	1.4405	1.81469	2.03719	2.63741	2.26591	1.95838	2.49406
NR2F2	1.08283	1.08226	1.05704	1.11831	1.05704	1.08283	4.6034	5.3979	17.2094	14.9625	6.16005	6.468	22.9656
NR2F2-AS1	1	1	1	1	1	1	1.27502	1.26459	2.48696	1.56858	1.24841	1	1.45045
NRAS	57.5746	60.3746	63.376	82.0644	63.376	57.5746	69.72	85.9865	27.3595	32.2038	68.165	28.1404	21.4979
NRD1	134.813	136.302	89.5416	115.364	89.5416	134.813	83.0266	106.715	30.6035	30.5285	79.159	35.3363	15.5606
NREP	159.125	155.078	130.551	160.109	130.551	159.125	260.97	257.219	80.7851	36.49	265.818	5.70901	15.8718
NREP-AS1	1	1	1	1	1	1	1	1	1.09999	1.10716	1	1	1
NRG1	2.58093	2.45651	3.89745	5.66853	3.89745	2.58093	2.77757	2.74948	5.61398	2.83937	3.58712	1	1.92489
NRG3	2.74307	2.20241	2.58619	2.83628	2.58619	2.74307	1.44637	1.6362	1.66159	1.07417	2.11478	1	1.45402
NRG4	3.45947	3.37892	3.75854	4.2359	3.75854	3.45947	1.26291	1.53117	1.94715	1.61093	1.23748	1	1.53504
NRP1	3.60906	3.55614	11.3327	15.8555	11.3327	3.60906	11.3109	8.43642	15.9889	9.12188	16.3904	3.85244	15.0975
NRXN2	1.97525	1.92292	1.03028	1.11709	1.03028	1.97525	2.0936	2.08528	11.9409	4.75605	2.45577	1.7219	3.71844
NRXN3	1.47747	1.42908	1.63923	1.46945	1.63923	1.47747	2.63984	2.35076	2.82396	1.57267	3.70897	1.18742	1.80448
NSMCE2	27.7745	22.7138	28.4247	33.8938	28.4247	27.7745	47.2531	58.0995	9.91869	11.2922	51.3022	20.2212	12.9212
NSMCE4A	57.9986	56.4766	34.5087	47.5761	34.5087	57.9986	58.4299	72.6566	23.827	20.1348	55.6303	42.2711	9.94967
NSUN7	12.0236	12.6314	6.9564	6.13564	6.9564	12.0236	5.10581	4.64954	8.54024	10.4724	3.92256	1.68812	4.35243
NT5C3A	17.9237	19.2773	10.6468	15.5529	10.6468	17.9237	24.9619	34.2471	18.1507	28.1618	26.452	41.193	19.9901
NT5DC1	36.7499	38.6004	26.3529	32.2868	26.3529	36.7499	23.71	27.8408	11.6211	23.1494	19.9803	33.8983	12.1185
NT5DC3	5.99574	6.41037	11.2122	13.6764	11.2122	5.99574	4.41078	4.37416	6.1244	4.15175	3.83805	1	2.2926
NUBPL	9.67983	9.68265	6.62297	7.56002	6.62297	9.67983	13.615	15.898	6.877	6.36199	11.9807	3.86438	6.74452
NUDT15	54.1909	53.2039	42.8248	67.0869	42.8248	54.1909	41.4838	54.7465	9.91108	12.2251	41.028	16.9132	38.8377
NUDT16	17.1929	16.961	9.66296	12.0592	9.66296	17.1929	18.7263	19.7264	13.5573	18.61	17.197	53.062	37.8843
NUDT16P1	4.53244	4.86941	3.04177	2.21368	3.04177	4.53244	1	1	4.88637	7.37061	1.05706	10.37	13.1564
NUDT19	2.50277	2.96406	4.40313	4.58602	4.40313	2.50277	1.88416	1.81443	5.27341	7.78695	1.91332	8.83772	11.1293
NUDT7	9.17069	10.6801	5.80858	5.5419	5.80858	9.17069	6.76924	8.2207	6.76047	7.93129	5.57976	13.8754	7.77311
NUDT9P1	1.12516	1	1	1	1	1.12516	1.17861	1.11456	2.25784	1.34684	1.47056	1	1.36605
NUF2	32.8725	31.7269	36.5455	47.7982	36.5455	32.8725	59.4275	73.6179	5.86725	5.08147	53.5632	1	5.52281
NUFIP1	8.62173	8.8057	4.91427	6.51324	4.91427	8.62173	9.18526	9.83442	2.79841	3.42862	8.81175	2.09873	2.51103
NUP107	83.3992	87.8933	62.2473	87.4867	62.2473	83.3992	95.5379	116.698	12.6153	14.2711	83.4825	5.94322	7.509
NUPL2	18.7995	17.8436	14.3792	19.2676	14.3792	18.7995	22.6326	29.1262	13.468	14.6276	25.6091	19.1753	11.1065
NXPE4	1	1	1	1	1	1	1	1	3.43119	1.06606	1	1	1
OAS1	1.17262	1.0886	1.04951	1	1.04951	1.17262	1	1	7.74967	8.47999	1.08623	40.8982	23.9718
OBP2A	1	1	1	1	1	1	1	1	1	1.08955	1	1	1
OCLN	5.75905	5.78036	4.63335	4.75532	4.63335	5.75905	3.31993	3.4903	7.33111	13.8728	2.97446	2.39986	4.77347
OCM	1	1	1	1	1	1	1	1	1.16512	1.08826	1.11928	1	1.21863
OCRL	13.39	13.5836	8.08807	10.4235	8.08807	13.39	23.6965	29.2211	14.5665	11.9928	22.1546	8.80267	8.68361
ODF2L	11.4633	11.766	16.3456	20.6951	16.3456	11.4633	10.1013	10.7039	7.01129	6.87749	9.86407	2.73927	3.45075
ODF3	1	1	1	1	1	1	1	1	1	1	1	1	1.09839
OGFOD2	2.10665	1.93209	2.83779	1.70698	2.83779	2.10665	2.38532	2.01291	6.25091	8.05984	2.53285	24.1277	14.0288
OGFRP1	1.26316	1.17427	1.12078	1.22548	1.12078	1.26316	1.10015	1	1.74464	1.58295	1.16961	1	1
OIT3	1.02533	1	1.02906	1	1.02906	1.02533	1.33736	1.09273	6.00139	8.13799	1.13604	3.79172	3.15675
OLFM3	1.254	1.26031	1.05017	1	1.05017	1.254	2.47472	3.71138	3.44741	11.119	4.06275	1	2.40241
OPTN	30.8664	32.0606	33.0822	30.4899	33.0822	30.8664	4.70328	4.97272	31.4483	33.67	6.55168	101.553	20.2679
OR10A2	1.07716	1	1	1	1	1.07716	1	1	1	1	1	1	1.15089
OR10A4	1	1.07623	1.07925	1	1.07925	1	1	1.06322	1	1	1	1	1
OR10A5	1	1	1	1	1	1	1	1	1	1	1	1	1
OR10AG1	1.23347	1	1	1	1	1.23347	1	1	1	1	1.0836	1	1
OR10C1	1	1	1	1	1	1	1	1	1	1	1	1	1
OR10S1	1	1	1	1	1	1	1	1	1	1	1	1	1
OR10X1	1	1	1	1	1	1	1	1	1	1	1	1	1
OR10Z1	1	1	1	1	1	1	1	1	1	1	1	1	1
OR11A1	1	1	1	1	1	1	1	1	1	1	1.02898	1	1
OR11G2	1	1	1	1	1	1	1	1	1	1	1	1	1
OR11H12	1	1	1	1	1	1	1	1	1	1	1	1	1
OR11H4	1	1	1.0813	1	1.0813	1	1	1	1	1	1	1	1
OR11H6	1	1	1	1	1	1	1	1	1.05154	1	1	1	1
OR1E1	1	1	1	1	1	1	1	1	1	1	1	1	1
OR1F1	1.29732	1.08204	1	1	1	1.29732	1.21215	1.2041	1	1	1	1	1
OR1F2P	1.06995	1	1	1	1	1.06995	1	1	1	1	1	1	1
OR2A20P	1	1	1	1	1	1	1	1	1	1	1	1	1
OR2A42	1	1	1.17197	1	1.17197	1	1	1	1	1.11879	1	1	1
OR2A7	1.70704	1.77007	1.63932	1.85614	1.63932	1.70704	1.35649	1.41156	2.45188	3.02806	1.08977	2.66764	2.02537
OR2A9P	1	1	1	1	1	1	1	1	1	1	1	1	1
OR2AT4	1	1.07944	1	1	1	1	1	1	1	2.42584	1	1	1
OR2B6	1.07403	1.1634	1.16988	1.21142	1.16988	1.07403	1.07043	1.13552	1.27546	1	1	1	1
OR2D2	1.07556	1	1	1	1	1.07556	1	1	1	1	1	1	1
OR2G2	1	1	1	1	1	1	1	1	1	1	1	1	1
OR2G3	1	1	1	1	1	1	1	1	1	1	1	1	1
OR2H1	1.01957	1	1.0449	1	1.0449	1.01957	1.03723	1.01791	1	1	1	1	1
OR2M2	1	1	1	1	1	1	1	1	1	1	1	1	1
OR2M3	1	1	1	1	1	1	1	1	1	1	1	1	1
OR2T10	1	1	1	1	1	1	1	1	1	1	1	1	1
OR2T2	1	1	1	1	1	1	1	1	1	1	1	1	1
OR2T29	1	1	1	1	1	1	1	1	1	1	1	1	1
OR2T3	1	1	1	1	1	1	1	1	1	1	1	1	1
OR2T34	1	1	1	1	1	1	1	1	1	1	1	1	1
OR2T5	1	1	1	1	1	1	1	1	1	1	1	1	1
OR4C13	1	1	1	1	1	1	1	1	1	1	1	1	1
OR4C6	1	1	1	1	1	1	1	1	1	1	1	1	1
OR4D5	1	1	1	1.10361	1	1	1	1	1	1	1	1	1
OR4F13P	1	1	1	1	1	1	1	1	1	1	1	1	1
OR4F15	1	1	1	1	1	1	1	1	1	1	1	1	1
OR4F17	1	1	1	1	1	1	1	1	1	1	1	1	1
OR4F4	1	1	1	1	1	1	1	1	1	1	1	1	1
OR4F5	1	1	1	1	1	1	1	1	1	1	1	1	1
OR4F6	1	1	1	1	1	1	1	1	1	1.11781	1	1	1
OR4K1	1	1	1	1	1	1	1	1	1	1	1	1	1
OR4K13	1	1	1	1	1	1	1	1	1	1	1	1	1
OR4K14	1	1	1	1	1	1	1	1	1	1	1	1	1
OR4K15	1	1	1	1	1	1	1	1	1	1	1	1	1
OR4K17	1	1	1	1	1	1	1	1	1	1	1	1	1
OR4K2	1	1	1	1	1	1	1	1	1	1	1	1	1
OR4L1	1	1	1	1	1	1	1	1	1	1	1	1	1
OR4M1	1	1	1	1	1	1	1	1	1	1	1	1	1
OR4M2	1	1	1	1	1	1	1	1	1	1	1	1	1
OR4N2	1	1	1	1	1	1	1	1	1	1	1	1	1
OR4N3P	1	1	1	1	1	1	1	1	1	1	1	1	1.14628
OR4N4	1	1	1	1	1	1	1	1	1	1	1	1	1
OR4N5	1	1	1	1	1	1	1	1	1	1	1	1	1
OR4P4	1	1	1	1	1	1	1	1	1	1	1	1	1
OR4Q3	1	1	1	1	1	1	1	1	1	1	1	1	1
OR4S2	1	1	1	1	1	1	1	1	1	1	1	1	1
OR52L1	1	1	1.07043	1	1.07043	1	1	1	1	1	1	1	1
OR56A1	1	1	1	1	1	1	1	1	1	1	1	1	1
OR56A3	1	1.16209	1	1	1	1	1	1	1	1	1	1	1
OR56A4	1	1	1	1.08727	1	1	1	1	1	1	1	1	1
OR56A5	1	1.0817	1.08494	1	1.08494	1	1	1	1	1	1	1	1
OR5AC2	1	1	1	1	1	1	1	1	1	1	1	1	1
OR5AN1	1	1	1	1	1	1	1	1	1	1	1	1	1
OR5B12	1	1	1	1	1	1	1	1.05883	1	1.0509	1	1	1
OR5B2	1	1	1.07418	1	1.07418	1	1	1	1	1	1	1	1
OR5B3	1	1	1	1	1	1	1	1	1	1	1	1	1
OR5D13	1	1	1	1	1	1	1	1	1	1	1	1	1
OR5D14	1	1	1	1	1	1	1	1	1	1	1	1	1
OR5F1	1	1	1	1	1	1	1	1	1	1	1	1	1
OR5H1	1	1	1	1	1	1	1	1	1	1	1	1	1
OR5I1	1	1	1	1	1	1	1	1	1	1	1	1	1
OR5L1	1	1	1	1	1	1	1	1	1	1	1	1	1
OR5M1	1	1	1	1	1	1	1	1	1	1	1	1	1
OR5M10	1	1	1	1	1	1	1	1	1	1	1	1	1
OR5W2	1	1	1	1	1	1	1	1	1	1	1	1	1
OR6C3	1	1	1	1	1	1	1	1	1	1	1	1	1
OR6C75	1	1	1	1	1	1	1	1	1	1	1	1	1
OR6K3	1	1	1	1	1	1	1	1	1	1	1	1	1
OR6K6	1	1	1	1	1	1	1.06277	1	1	1	1.07088	1	1
OR6N1	1	1	1	1	1	1	1	1	1	1	1	1	1
OR6P1	1	1	1	1	1	1	1	1	1	1	1	1	1
OR6T1	1.07114	1.15702	1	1.20317	1	1.07114	1	1	1	1	1	1	1
OR7A10	1	1	1	1	1	1	1	1	1	1	1	1	1
OR7A5	1	1	1	1	1	1	1	1	1	1	1	1	1
OR7E12P	27.8544	25.9584	21.2713	26.0739	21.2713	27.8544	1.5689	1.44781	1.28334	1.38711	1.46715	2.20495	1
OR7E5P	1.16769	1.2591	1.03848	1	1.03848	1.16769	1.09572	1.0307	1	1	1.03603	1	1
OR8B2	1	1	1	1	1	1	1	1	1	1	1	1	1
OR8B3	1	1	1	1	1	1	1	1	1	1	1	1	1
ORAI1	2.47316	2.67232	3.17322	2.02179	3.17322	2.47316	2.6418	2.3869	16.9883	16.5375	2.44681	24.2697	56.7389
ORC1	27.5522	27.8648	14.0868	13.3529	14.0868	27.5522	28.5802	27.9273	3.28164	3.41089	25.7413	3.0386	3.50539
ORMDL1	31.3996	31.3358	27.293	40.9495	27.293	31.3996	30.3688	38.7407	17.5022	20.061	32.7793	21.0013	19.9184
OSGEPL1-AS1	1.39173	1.77534	1.37642	1.54863	1.37642	1.39173	1.73827	1.28731	1.52158	2.04185	1.4184	1	1
OSR2	1	1	1	1	1	1	1.37282	1.32879	1.81654	27.0568	1.31571	1	13.7118
OTC	1	1	1	1	1	1	1	1	3.39721	31.6355	1.04067	66.254	36.4783
OTOGL	1.13868	1.09949	1.05569	1.10892	1.05569	1.13868	1.07916	1.05077	1.08271	1.09838	1.02979	1	1.01337
OTP	1	1.02437	1	1	1	1	1	1	1	1.03486	1.07116	1	1
OTUD7B	7.10461	7.46558	8.1961	7.2052	8.1961	7.10461	7.00028	7.23968	9.45225	8.15658	7.19842	7.37903	8.8388
