Genes	ES1	ES2	DE3	DE2	DE3	ES1	D4CF2	D4CF3	FS1	FS2	AS1	AS2	AS3
ANGPTL7	1.02619	1	1.09015	1.0748	1.09015	1.02619	1	1	1.07806	1	1	1	1.65902
ANK2	9.35033	9.81742	21.2398	24.0743	21.2398	9.35033	3.40713	3.55817	22.298	8.26462	5.35001	1.61675	4.63923
ANKRD12	7.22894	7.90675	7.09904	7.71613	7.09904	7.22894	9.20597	10.4559	10.793	8.75553	9.30441	10.9988	6.59945
ANKRD13C	8.08046	8.09699	8.42407	9.76854	8.42407	8.08046	10.4573	11.6639	8.08206	7.65488	10.4642	7.37481	6.09384
ANKRD20A12P	1	1	1	1	1	1	1	1.06494	1.02643	1	1.03811	1	1
ANKRD30BL	1	1.04938	1	1	1	1	1	1	1.16662	1	1.04806	1	1
ANKRD30BP2	1	1	1	1	1	1	1	1	1	1	1	1	1
ANKRD34B	4.03113	3.44031	1.11761	1.12546	1.11761	4.03113	1.08359	1.08042	1.01091	1	1.09438	1	1
ANKRD34C	1	1	1	1	1	1	1	1.00958	1	1	1	1.23007	1.04039
ANKRD36BP2	1	1.03951	1	1.2045	1	1	1.10218	1.19661	1.10668	1.11314	1.07692	1.79078	1.55544
ANKRD40	30.3078	31.08	29.837	29.3538	29.837	30.3078	27.1132	31.3819	15.1422	12.6931	25.8067	6.15246	12.839
ANKRD45	1.37648	1.53771	1.76229	1.79061	1.76229	1.37648	2.26414	1.93241	1.42908	1	3.02203	1	1.12849
ANKRD62	1.01206	1	1	1	1	1.01206	1	1	1.00899	1	1	1	1
ANKRD62P1-PARP4P3	1	1	1	1	1	1	1	1	1.0305	1	1	1	1
ANKRD7	1	1	1	1	1	1	1	1	1.17644	1	1	1	1.0921
ANKS1B	2.32836	2.71678	19.8624	28.9435	19.8624	2.32836	1.51102	1.48244	6.05889	1.20065	2.44351	1	1.21309
ANO3	1.06672	1.04208	1.01094	1	1.01094	1.06672	1.04534	1.16576	1.05684	1.03757	1.07167	1	1.01839
