Genes	AS1	AS2	AS3	D41	D42	D43	DE2	DE3	ES1	ES2	ES3	F1	F2
RGS5	51.1442	8.222	12.6622	62.1201	34.3381	41.7004	66.3071	42.8287	23.8566	23.8748	22.2016	31.1059	5.29134
RHBDD3	1.87459	8.65291	23.0679	2.61484	1.76193	1.36912	2.54292	4.16813	2.70673	2.55493	2.78591	6.87152	8.07552
RIN2	3.44018	13.3751	13.5397	2.34252	3.29116	2.99249	2.27698	2.63652	1	1	1	7.97428	5.87308
RIOK1	28.8354	9.53498	7.88659	27.5335	28.9057	39.2142	27.1659	17.1879	23.2669	24.0381	25.1981	8.78986	8.01257
RIPK3	1	58.2897	9.68027	1	1	1	1	1	1	1	1	5.97381	5.50372
RLN2	1	1	1	3.43107	1	1	2.65552	1.93031	6.818	7.52475	7.61895	1	1
RMDN2	2.08669	5.85341	1.91366	2.79655	1.49828	1.83755	3.03161	1.53056	2.23798	2.19198	2.10478	6.2459	10.3625
RMST	1.48651	1	1	1.05835	1	1	1.31743	1.02546	3.60378	3.53188	3.13222	1	1
RNF10	36.4555	69.9495	27.3701	46.3365	37.3243	39.0933	50.6265	49.4878	56.2082	54.2886	51.1994	24.7697	20.8661
RNF145	70.758	11.2721	17.8381	52.0437	75.5138	95.1519	50.0692	38.6826	39.8853	42.284	42.1945	20.1711	16.6247
RNF19A	9.0981	33.1506	14.2919	48.0428	8.92029	10.7679	48.4491	41.4624	6.26896	5.66883	5.7031	26.9275	34.2787
RNF217	3.49339	1	2.09735	4.79414	4.0632	4.48274	4.32402	3.35659	1.78932	2.2775	1.49943	6.42659	6.59905
RNMTL1	7.01882	15.8633	16.3153	4.81406	10.122	9.9573	5.12947	4.47472	10.3314	10.685	11.5663	6.54972	7.94525
ROS1	1	1	1	1	1	1	1	1	1	1	1	1.30757	2.2784
RPL23AP32	1	5.90812	1	1	1	1	1	1	1	1	1	1	1
RPL37	442.809	487.141	45.9555	161.34	489.785	298.826	151.007	220.041	246.609	218.453	290.537	166.708	206.725
RPS27A	382.405	692.732	693.445	302.122	420.033	491.083	359.659	221.479	376.598	319.366	314.45	47.6567	170.312
RPS7P5	1	1	1	1	1	1	1	1	1	1	1	1	1
RRN3P2	1	1	1	1	1	1	1	1	1	1	1	1	1
RSPH10B	1	1	1	1	1	1	1	1	1	1	1	1	1
RSPH10B2	1	1	1	1	1	1	1	1	1	1	1	1	1
RSRC1	22.6575	1	4.38273	22.5755	23.8213	26.3325	22.6929	18.7381	14.8869	16.7072	15.5579	6.09361	7.1829
RTKN2	16.2086	1	1.97452	10.398	14.6167	21.5203	10.9167	8.57046	15.8991	17.3047	15.7353	2.93202	3.07534
RUNDC3B	1.03106	1.94959	1.51286	1	1	1	1	1	1	1	1	1.76138	1
RYR1	1	1	1	1	1	1	1	1	3.0356	3.18335	2.97327	1	1
S100A10	53.9275	997.959	331.057	256.489	50.1443	56.0577	272.919	138.776	95.8483	91.3297	98.0928	331.703	308.627
S100A4	43.3239	108.689	167.769	12.2992	69.5622	58.9822	11.1448	15.8743	47.2811	42.2844	46.5398	11.1184	5.38614
S100A5	1	1	1	1	1	1	1	1	1	1	1	1	1
S100A6	1	2339.69	1040.81	5.81519	1	1	4.07178	7.0667	19.1612	15.3571	16.0591	336.035	163.582
SAA3P	1	1	1	1	1	1	1	1	1	1	1	1	1
SAAL1	44.3573	6.37203	4.23617	26.4488	48.7259	62.7048	33.2761	20.5014	51.9159	49.3912	51.3847	7.32897	7.35434
SCAF4	22.7958	8.11353	9.44626	21.4143	21.8015	24.0467	23.9875	19.8253	29.2998	29.2294	27.2115	13.0174	18.737
SCFD1	46.0671	18.731	3.12698	62.5627	48.7478	66.4789	60.7535	42.6922	51.2751	51.9003	53.3864	21.4255	26.7216
SCGB1A1	1	1	1	1	1	1	1	1	1	1	1	1	1
SCGB1D4	1	1	1	1	1	1	1	1	1	1	1	1	1
SCHLAP1	1	1	1	1	1	1	1	1	1	1	1	1	1
SCIMP	1	1.64361	3.51111	1	1	1	1	1	1	1	1	1	1.53287
SEC22B	41.9089	53.8709	45.9724	45.5241	41.6064	47.3851	44.7935	35.0949	29.9361	32.1055	31.8448	46.5925	47.9333
SEMA3C	6.31736	1	9.60949	1.32271	2.60409	3.59198	1.78953	1	1	1	1	37.5043	34.1683
SEMA3D	3.66427	1	1	10.1778	2.6272	2.48626	10.3868	6.58542	2.68927	2.64932	2.32953	9.72084	3.14467
SERPINB10	1	1	1	1	1	1	1	1	1	1	1	1	1
SERPINB11	1	1	1	1	1	1	1	1	1	1	1	1	1
SERPINB13	1	1	1	1	1	1	1	1	1	1	1	1	1
SERPINB5	1	4.46001	12.181	1	1	1	1	1	1	1	1	1	1
SETDB2	2.76399	3.32598	2.45256	5.49029	3.12389	3.87249	4.82696	4.08496	3.49879	3.76454	3.28919	5.15958	6.72911
SF3B6	150.698	226.052	67.3364	141.682	171.696	164.302	146.812	110.997	156.575	156.535	166.737	47.8011	58.9781
SFR1	7.55077	3.93716	8.21073	6.78427	7.8727	9.28435	5.27308	5.97215	6.58438	6.28478	6.8442	2.75142	5.2761
SFRP4	1	1	1	1	1	1	1	1	1	1	1	1	1
SGTA	15.0955	80.4505	57.8546	8.49779	13.6898	8.12505	7.65016	17.0151	12.5002	11.311	12.9564	18.4742	17.1416
SH2D1B	1	1	1	1	1	1	1	1	1	1	1	1	1
SH3BGRL	68.5726	70.7077	49.9463	60.8079	54.1283	70.1866	55.4264	41.9365	49.8404	53.1524	55.2704	69.9961	46.7873
SH3D19	24.9253	53.9043	28.0827	18.5511	24.5054	27.2366	23.8847	17.9032	27.7886	29.9732	26.9588	26.5989	33.0055
SH3KBP1	8.92844	5.08822	8.2975	11.9287	11.4606	10.3832	11.0509	10.3833	7.45561	7.37742	6.90479	5.82133	5.77804
SHISA3	1	1	12.4597	6.49484	1.05895	1.83949	7.50586	6.45657	1	1.22845	1	5.15992	16.1405
SHOX2	1.22975	1	1	1	1	1	1	1	1	1	1	1	1
SI	1	161.492	78.3886	1	1	1	1	1	1	1	1	78.2684	272.014
SIX1	1.29994	1	1	1	1	1	1	1	1	1	1	1	1
SKIDA1	3.58069	1	1	7.49552	1.64259	1.74458	6.43227	5.07017	1	1	1.01031	1	1
SLC10A2	1	3.0262	2.95157	1	1	1	1	1	1	1	1	1	13.9828
SLC10A7	3.55825	1.34347	2.97774	2.92641	3.0498	3.50628	3.0954	2.13517	1.60283	1.88691	1.64518	3.58391	3.51607
