Gene     RPKM           

MIR30A              0

MIR30B              0

BDNF                0.052842

ZNF280B             0.099911

UGT2B4              0

ATP6V1G3            0

MIR302A             0

KDM1B               6.21352

ITGB1               29.8445

MIR4318             0

PDK3                7.21958

GRXCR2              0

TMSB4X              2723.33

MIR20B              0

DSG1                0.0140396

OR51F2              0

SAMD3               0.0195311

MIR4295             0

GCC2                11.6559

MIR4782             0

ROBO2               0.301231

ST3GAL4             3.67806

MIR4276             0

RARB                0.881391

PPP1R3D             4.35151

DUSP14              3.43444

TMEM160             23.5213

IL4R                22.0319

TDP2                258.867

GTF3C3              8.38371

FAM110B             0.461532

TAS2R30             0

MEX3A               0.453649

COL3A1              20.5433

SLC11A2             12.2778

PLXNB1              21.8841

CMAS                133.942

MTPN                55.7711

TARP                0.818053

EHBP1               7.43153

TUSC3               2.92818

TAAR5               0

BMP6                1.19693

RASSF8              1.69986

PEBP1               1568.36

SPINK7              0.109888

SCARNA20            0

ARG2                46.0695

DUSP27              0.0192302

TECRL               0.3136

DNAH5               0.00239103

MIR1296             0

RGS21               0

KLRC2               0.889876

SPAG11B             0

PADI4               0.0179115

MIR1298             0

SLC35E3             0.981694

LOC283038           0.106981

OR10Z1              0

OR10X1              0

LOC100130093        0.855823

LOC339166           0

C9orf170            0.0114965

PCGEM1              0

SNAR-A14            0

SPG20               7.20283

PTH                 0

PPP2R3A             3.64836

ZFAND6              77.6372

DSP                 69.2723

IGSF11-AS1          0

ADSS                21.8306

KCNN2               0.0886875

USHBP1              1.24118

ERO1LB              3.77963

C4orf45             0

DUSP15              1.53246

SLC39A8             5.45671

SCARNA23            0

ZCCHC13             0.646274

HHLA1               0

PCCB                18.8364

SCARNA10            0

USP30               3.5229

PPIP5K2             7.11252

NBPF10              0.11631

MIR30D              0

OTOL1               0

CDH17               221.733

PPIAL4B             0

ANKRD6              0.472085

CAB39L              2.35635

CCP110              3.14292

SERPINA12           0.97964

COX6C               436.31

ARHGAP28            1.39349

ATP6AP1L            2.85534

ELK3                5.45623

MIR19B2             0

MAN1A2              4.12256

MIR1244-2           0

OR5A2               0

RNF43               10.9078

CCKAR               0.0750867

SEMA3A              0.749384

OR6S1               0.521443

CXCR4               15.7311

MUC7                0

MIR26A2             0

PDE7B               0.732018

HERC4               23.1938

GSTTP2              0

NBPF1               2.45156

TSHB                0

DEFB133             0

DOCK11              1.08684

LGALS8              14.2179

PART1               0.0844092

GZMA                5.53829

KIAA0087            0.0536715

MIR181B2            0

GREB1               0.245192

MIR2054             0

TTC9                1.09676

TRIM55              0.180312

GRK5                27.8286

GPATCH8             10.1861

MIR3675             0

DEFB132             0.0192748

PLA2G2E             0

CTAGE4              0

MIR205HG            0

