Gene	Sample	RPKM
KIAA0087	Adult-SI	0.0536715

SNAR-D	ESC	0

RPSAP52	ESC	0.175329

ST3GAL4	Adult-SI	3.67806

SDC4P	ESC	0

AURKC	Adult-SI	2.09477

FBXL3	D4CF	13.2528

MIR4509-1	ESC	0

COL3A1	ESC	0.173477

OR2D2	Fetal-SI	0

MIR764	Fetal-SI	0

MIR30B	D4CF	0

OR2F2	Endo	0

SLC9A8	Fetal-SI	5.56829

FMNL3	Fetal-SI	4.10257

BAHD1	Endo	6.70438

TIAM2	ESC	3.62435

DMP1	D4CF	0.011476

FTH1	Endo	265.903

TMSB4X	Endo	1197.26

FAM175B	Adult-SI	12.2528

PDE3A	Fetal-SI	38.4522

PPP2R3A	Adult-SI	3.64836

IKZF5	Adult-SI	5.32078

MUC7	D4CF	0.0091789

CTNNA1	Endo	126.467

LIN28A	Fetal-SI	0.0108344

GLT6D1	Adult-SI	0

MIR4735	ESC	0

ATF7IP2	ESC	10.7889

CDH2	Fetal-SI	8.35886

PIGX	Fetal-SI	8.38116

NDRG1	D4CF	2.84833

ART3	Endo	0.0790022

TMPRSS11GP	D4CF	0

DUSP27	Endo	0.201672

SNAR-A8	Fetal-SI	0

PCGEM1	D4CF	0

MIR553	Adult-SI	0

SRSF4	Fetal-SI	51.3533

PVR	Fetal-SI	39.4505

OR2F2	D4CF	0

MTPN	D4CF	133.157

PTPDC1	Fetal-SI	3.05319

GLT8D2	Adult-SI	1.60785

CEP19	Adult-SI	0.339811

XIRP2	D4CF	0.0148326

FLJ46066	D4CF	0

APLF	Fetal-SI	0.755314

ZFP42	Fetal-SI	0.0406102

CHL1	Endo	16.4954

DDX43	Adult-SI	0.0296003

PRMT5	D4CF	85.4088

SP8	Endo	9.79536

IFIT2	D4CF	0.0280954

PROM1	Endo	7.42633

SVOPL	ESC	0.692406

HTR1F	Adult-SI	0.0247854

HIST1H3C	ESC	0

FGGY	ESC	4.41631

CDH17	D4CF	1.63891

RASAL2	Adult-SI	2.77954

DIRAS3	D4CF	0.59579

MIR4279	D4CF	0

RUFY3	ESC	15.3849

SVOPL	Fetal-SI	2.72837

PSMG1	Endo	48.4675

LPCAT2	Endo	1.29738

MIR491	D4CF	0

TTC9	ESC	18.1654

MAOA	Endo	0.907447

SLC2A1	ESC	49.4172

OR10A5	D4CF	0

RASSF8	ESC	17.0342

ANKRD32	ESC	10.4937

PEBP1	Fetal-SI	113.624

AKAP6	Adult-SI	0.621899

ZNF280D	Adult-SI	9.77663

EIF3M	D4CF	316.984

STOML3	Adult-SI	0

NUBPL	Adult-SI	3.43952

MIR577	Adult-SI	0

SLBP	Fetal-SI	19.3609

ZNF280B	Fetal-SI	1.09688

LOC100131564	ESC	3.05749

CYP4A11	ESC	0

AGPAT1	Fetal-SI	57.6315

MIR18B	D4CF	0

MIR1296	ESC	0

FBXL3	Endo	14.5882

KLRC2	Fetal-SI	0.369893

CORO2B	Fetal-SI	3.32582

CFHR3	ESC	0.692024

LOC339862	Fetal-SI	0

MIR4429	ESC	0

GPATCH8	Fetal-SI	14.1293

TDP2	Endo	41.6427

AVIL	Fetal-SI	1.6413

SEC22B	D4CF	44.4343

MOGS	D4CF	18.3364

MS4A2	Fetal-SI	0.0451956

HAP1	Adult-SI	0.364736

MIR30E	Endo	0

MIR34C	Adult-SI	0

CYP4A22	ESC	0.0107011

MIS18BP1	Adult-SI	4.32016

ATP6V1G3	ESC	0

CCDC85A	Endo	0.14563

CTCFL	ESC	0.519271

SH2D1A	Adult-SI	0.096042

SLIT2-IT1	ESC	0.0394612

WBSCR27	Fetal-SI	8.33951

ABL2	D4CF	7.27409

FAM180A	Fetal-SI	0

MIR3943	ESC	0

MIR1233-2	ESC	0

KCP	ESC	0.342278

ITGB5	Fetal-SI	27.8359

ACOT13	Endo	6.89783

MPZL1	Endo	40.138

PIK3C2G	D4CF	0

RPL23P8	ESC	136.154

HHLA1	ESC	4.0039

MIR4693	Endo	0

ZBTB24	D4CF	8.25381

OSBPL9	ESC	38.2516

MIR1296	Adult-SI	0

ZNF330	ESC	26.7302

ASB17	Endo	0

SORT1	Adult-SI	11.5116

LINC00327	Adult-SI	0.0196145

CTNNA1	D4CF	119.972

NAP1L5	Adult-SI	3.36854

MIR4429	Adult-SI	0

MIR1278	Endo	0

HERC4	D4CF	19.14

NRG4	Fetal-SI	0.777586

SERPINB11	Fetal-SI	0.011723

VNN2	ESC	0

UEVLD	Adult-SI	5.96779

CXCR4	D4CF	73.9747

TJAP1	D4CF	6.71991

WDR83	ESC	2.45566

OR7D2	Adult-SI	0.0122033

MIR1233-1	ESC	0

CYP4A22	Fetal-SI	0

LRRC3B	Endo	0.257462

NFKB2	ESC	9.13267

MYL10	Endo	0.115967

GTF2H2	D4CF	2.49992

LOC100128554	D4CF	0

CPA2	D4CF	0.302407

GNG3	Fetal-SI	7.82559

DMP1	Fetal-SI	0

WDR83OS	Adult-SI	153.972

NDRG1	Adult-SI	254.324

MIR1233-2	Endo	0

PLS1	ESC	21.9962

AHCYL1	ESC	66.2073

C8B	Adult-SI	0

CASP7	Endo	5.21971

VNN2	D4CF	0.0281603

ANTXR1	Adult-SI	4.60559

IPO8	Adult-SI	13.6554

MIS18BP1	Endo	29.0211

ARG2	Adult-SI	46.0695

GDE1	ESC	30.8107

SPAG11B	Endo	0

NEDD4	Adult-SI	6.95762

KCNG4	Adult-SI	0

STATH	Fetal-SI	0

OR51F2	Fetal-SI	0

OLFM3	Endo	0

MIR4288	Endo	0

LOC100131347	Fetal-SI	0.103249

ATP6AP1L	Endo	1.31768

CSRNP3	ESC	1.36685

MIR577	Fetal-SI	0

FAM217B	Adult-SI	4.36067

FAM26D	Adult-SI	0

DEFB105B	Fetal-SI	0

USP30	Endo	4.24906

CLYBL	Endo	0.723525

MIR320D1	ESC	0

DST	Endo	24.8908

OR2A1	Endo	0.172225

AURKC	D4CF	1.61409

OR5M9	ESC	0

CABIN1	ESC	9.46502

SYNPO2	D4CF	0.0528977

PTH	Fetal-SI	0

SERF1A	Endo	0.144027

MSTN	D4CF	0.00653281

ARHGEF33	ESC	0.270704

CCNJ	Endo	22.5037

TPI1P3	Endo	0.0206657

MIR3942	Fetal-SI	17.7342

DYTN	Fetal-SI	0

FLJ46066	Adult-SI	0.256096

SCYL1	Adult-SI	34.7484

LINC00327	D4CF	0.145705

WDFY2	D4CF	4.99504

MIR4295	ESC	0

C2orf66	Adult-SI	0.560684

SH3D19	D4CF	23.6569

GRAMD1A	Endo	12.1226

TMEM100	Fetal-SI	6.23493

MIR4699	D4CF	0

IFIT2	Adult-SI	5.23469

EVI5	Endo	5.8208

MIR26A2	Endo	0

CPOX	D4CF	32.3677

OR5T3	Fetal-SI	0

CASP12	Fetal-SI	0.277788

IBSP	ESC	0.039877

TIAM2	Fetal-SI	2.51508

SCN7A	ESC	0.126824

POGZ	Fetal-SI	24.3589

PCCB	ESC	46.0194

KLRC3	Fetal-SI	0.286084

MYO3B	Fetal-SI	0.2482

GCK	Adult-SI	0.116842

CYP4A11	D4CF	0.0182238

ART3	Adult-SI	0.112428

IL17A	D4CF	0

NUBPL	Fetal-SI	5.73794

SPINK5	Adult-SI	0.324455

NBPF10	ESC	0.0996542

PDE3A	ESC	3.45614

ATP2B1	D4CF	29.2212

SNAR-A3	D4CF	0

CCKAR	ESC	0

SERF1A	Adult-SI	0

HIF1A	Endo	126.557

SPINK7	D4CF	0

PDK3	Fetal-SI	8.3752

MIR18B	Adult-SI	0

CLCC1	ESC	9.33697

GRK5	ESC	1.18713

MIR4796	Fetal-SI	0

OR56B1	ESC	0.0723998

MANEA	D4CF	12.9314

ATP6AP1L	ESC	0.778457

ADGB	ESC	0

PKP2	Endo	27.1671

MIR4737	ESC	0

DIRAS3	Adult-SI	1.39601

SHROOM3	Fetal-SI	16.9123

ROBO2	Endo	0.487102

MIR449A	ESC	0

CLOCK	Fetal-SI	5.63723

ZBTB38	Adult-SI	11.1933

CLEC9A	Endo	0

MIR18B	Endo	0

MIR19B2	Fetal-SI	0

SNAR-A4	ESC	0

IL17A	ESC	0

KDM1B	Endo	2.62424

SIPA1L1	Adult-SI	13.1862

OR6S1	D4CF	0

PARP15	Adult-SI	0.236141

TDP2	ESC	54.3455

BMP6	D4CF	3.62518

CRB2	Fetal-SI	0.546107

CAPS	Endo	0.367903

MIR563	Endo	0

UROC1	Endo	0

CLOCK	Endo	7.70928

CD4	Fetal-SI	7.76442

POPDC3	D4CF	4.25236

NKAIN2	Adult-SI	0.06333

REM2	Adult-SI	0.989209

POPDC3	Fetal-SI	0.508478

MIR367	Fetal-SI	0

MITF	Endo	0.534354

OR13C9	Adult-SI	0

LDHD	Fetal-SI	4.22702

CAB39L	Fetal-SI	2.84259

MIR34C	Endo	0

PDE7B	Fetal-SI	0.460895

CGA	Fetal-SI	0.389165

RBFOX1	D4CF	2.27167

JAKMIP2	Fetal-SI	1.43491

OR2F2	ESC	0

DEFB107B	Endo	0

LOC339862	D4CF	0.579529

TECRL	Fetal-SI	0.0173883

LRRTM4	Adult-SI	0.032324

PEX5	ESC	17.2516

BAMBI	Endo	34.714

BFSP1	Fetal-SI	0.526461

DEFB105A	Adult-SI	0

VWA2	Adult-SI	0.64538

KIF7	Fetal-SI	2.34414

FBXL3	ESC	7.55937

KC6	ESC	2.22719

MIR302C	D4CF	0

KIAA0040	Endo	7.24993

SNORD103A	Endo	0

NFKB2	D4CF	4.65823

FNDC3B	Adult-SI	5.32475

MEX3A	Endo	51.2238

CAPS	D4CF	0.0620325

C11orf88	ESC	0

MRPL48	ESC	25.5303

GPM6A	Adult-SI	1.43407

ADH1B	Endo	0.0104136

CMPK1	Adult-SI	215.99

SLCO6A1	D4CF	0.329566

GALT	Adult-SI	64.4078

LOC100131347	Endo	0.244024

MAD1L1	Endo	3.28674

RARB	ESC	0.197012

IL17A	Endo	0

SLC38A9	D4CF	16.4597

THSD7A	D4CF	0.487251

OR13C4	Fetal-SI	0

OR52D1	Endo	0

PRKG2	ESC	0.629068

LOC100131347	D4CF	0.11602

TRIML2	ESC	40.8628

SALL1	Endo	35.9874

SYNPO2	Adult-SI	10.5517

SPTA1	Adult-SI	0.00470661

MAP2K6	ESC	20.1963

IGSF11-AS1	Endo	0.0680861

SNORD103A	Adult-SI	0

LOC283683	Adult-SI	0.179105

SLC26A7	Fetal-SI	0.428406

MIR30D	D4CF	0

MIR548I4	Endo	0

MIR30E	Adult-SI	0

MIR302D	Fetal-SI	0

