Gene     RPKM    
LINC00327           0.0196145

ASCC3               6.10746

ABL1                20.6042

MIR4509-1           0

MIR331              0

TCF12               20.5272

MIR4796             0

TANK                33.3007

TCEB3C              0

DUSP14              3.43444

LCN9                0

GPATCH8             10.1861

RAB8A               86.6379

ZNF330              16.0644

GCK                 0.116842

IGSF11-AS1          0

MRPL17              17.6124

TP63                0.0168023

MIR1233-2           0

KLRC2               0.889876

MIR3668             0

FGL1                0.213046

FAM175B             12.2528

DOCK11              1.08684

SRSF4               66.5216

RAB23               2.79125

HYALP1              0

MIR367              0

IER3IP1             48.8072

RARB                0.881391

NR1I2               78.8261

PCCB                18.8364

BTG4                0

SP8                 0

TFEC                2.44128

COX5A               402.766

GATA3               0.335843

KRT6B               0.0177642

NEDD4L              20.2187

VSIG10              30.0562

CCDC83              0.191313

TDRD1               0.0256486

SLC39A8             5.45671

LIN28A              0

TNIP3               0.202388

CPOX                17.7135

ZFP42               0

MAN1A2              4.12256

ATP6V1G3            0

STARD10             130.566

TMEM47              2.76524

RRP1B               5.96656

KRTAP10-7           0

MIR449B             0

MIR4256             0

OSBPL9              15.9244

FBXW12              0

SYNPO2              10.5517

ESR1                0.173576

ZFAND6              77.6372

LOC399815           0.516262

MIR4509-3           0

PROL1               0

PDE3A               6.09919

CPXCR1              0

ACOT13              8.39058

PCGEM1              0

NRG4                0.186768

MIR4491             0

HMGA2               0.918469

ADGB                0.0803274

SPINK6              0

MIR1298             0

GOLGA8A             11.9589

PIK3C2G             2.58065

HAMP                0

SLC16A7             0.331207

OR56B1              0

TAS2R14             0.298077

CDH17               221.733

OR52D1              0.0432441

PLCH1               2.39

MIR135A2            0

GNGT1               0

DNAJC15             40.3171

TECR                18.2939

FTH1                2704.54

MIR2113             0

ADH1B               93.4932

CTNNA1              140.625

TSSK4               0.340582

MS4A2               0.323001

CFHR3               0

GDE1                35.7604

PEX5                20.9743

PSMG1               18.0873

OR5B21              0

GTF3C3              8.38371

TAS2R5              0.514162

MIR1244-1           0

MS4A3               0

FDFT1               68.1539

TRIML2              0

GALT                64.4078

MIR92A2             0

SELPLG              3.53657

CERS5               9.64372

CCP110              3.14292

HIST1H2BI           5.12378

ST3GAL4             3.67806

DUSP15              1.53246

POPDC3              0

EDNRB               3.38225

PYCR2               30.3494

DSG4                0.0872929

SPC25               3.0565

MIR4699             0

TSC22D3             172.305

OR2F2               0

TIAM1               0.794302

NKAIN2              0.06333

MIS18BP1            4.32016

MIR302B             0

JAKMIP2             0.258896

ART3                0.112428

SLC41A1             2.8947

DPY19L2P4           0

SMAD3               15.278

SCEL                0.0254508

REXO1L2P            0

CD28                0.230657

AGTR2               0

CITED4              1.29666

ADNP2               8.19177

MIR181B2            0

