Genes	AS1	D4CF1	ES1	FS1	AS1	D4CF2	ES2	FS2	AS3	D4CF3	DE3	ES3
LOC101243545	1	1	1.20687	1.04625	1	1	1.02954	1.27397	1.03265	1	1	1.07121
LOC101409256	1	1.064	1.06276	1.04676	1	1.02985	1.22406	1.06927	1.22306	1.1216	1	1.07201
LOC101448202	1	1.36748	1.08731	1.13795	1	1	1.6081	1.19415	1.13714	1	1	1.96604
LOC101559451	1.43795	1.83148	1.40769	1.67576	5.65025	1.19395	1	1	1.32654	3.04529	2.1195	1.70167
LOC101593348	1.0547	1.10379	1.15268	1.9579	1.56099	1.09684	1.03634	1.05619	1.02009	1.1158	1.04658	1.05839
LOC101805491	1	1	1	1	1	1	1	1	1	1	1	1.11673
LOC101926888	1.77831	3.0691	4.4781	2.39943	14.0727	1.55147	2.24161	2.91933	3.3076	7.32041	2.32659	2.6627
LOC101926889	1.0594	1.39471	1.0553	1.16481	1	1	1.23689	1.12206	1.08732	1	1.02531	1.15862
LOC101926892	1	1	1.17681	1.05646	1	1	1	1.13938	1.07976	1.78208	1	1
LOC101926895	1.53698	1.2476	1.53349	1.45197	1	1.47538	1	1.8483	1.10414	1	1.78956	1.50255
LOC101926896	1	1	1.70236	1.51902	1	1.3341	1	1.38758	1	1	1.32143	1
LOC101926897	1	1	1	1	1	1	1	1	1	1	1	1
LOC101926905	1	1	1	1.10091	1	1	1	1	1	1	1	1
LOC101926908	1	1	1	1.02681	1	1	1	1.07944	1	1	1	1
LOC101926911	1.41445	1.07869	1.27008	1.05748	1	1.69743	1.0551	1.25549	1.09147	1.07487	1.70629	1.08854
LOC101926913	4.36215	1.87046	1.14227	1.21139	1	6.00807	1	1.31404	1.79357	1	7.38077	1.32648
LOC101926924	1	1	1	1	1	1	1	1	1	1	1	1
LOC101926928	1	1	1	1	1	1	1	1	1	1	1	1
LOC101926933	1.16672	1.31653	1	1.11526	1	1	1.22163	1	1.74281	1	1.42617	1
LOC101926935	1.00966	1.01833	1	1.06701	1	1	1.10269	1	1.03543	1.01734	1	1.07219
LOC101926940	1.29714	1	1	1.10276	1	1	1	1	1	1	1	1
LOC101926942	1	1	2.05469	1	1	1	1.10041	2.47442	1	1	1	1
LOC101926943	1	1.67142	1.34112	1	1	1	1	1	1.08151	1	1	1
LOC101926944	1	1	1.33723	1.75109	1	1.16042	1	1.18609	1.13465	1	1.30867	1
LOC101926950	1	1	1	1	1	1	1	1	1	1	1	1
LOC101926955	1	1.02532	1	1	1	1	1	1	1	1	1	1
LOC101926960	1	1	1	1	1	1	1	1	1	1.12418	1	1
LOC101926962	1	1	1	1.02667	1	1	1	1	1.05657	1	1	1
LOC101926963	1	1	1	1.59608	1	1	1	1	2.75546	1.97739	1	1.0707
LOC101926964	1	1	1.02553	1.30437	1	1.02429	1	1	1.08061	1	1.02337	1
LOC101926966	1	1	1	1	1	1	1	1	1	1	1	1
LOC101926975	1.40513	1.49447	7.78876	1.50182	1	1.28193	1.19235	7.30319	1.10634	1.05215	1.54247	1.24728
LOC101926987	1.58511	1.22218	1.98045	1.20278	1	1.67368	1.31113	1.78151	1.1724	1.10604	1.39886	1.68748
LOC101926996	1.13237	1.84532	1.71695	1.17536	1.24629	1.06395	1.84784	1.85308	1.07067	1.06486	1.04101	1.78405
LOC101927015	1	1	1	1.27308	1	1	1	1	1.90016	1	1	1
LOC101927018	1.24555	3.09785	5.22886	1.50982	1	1.10874	4.59066	4.78423	1.72695	1.45036	1	2.96708
LOC101927021	1.91545	2.26874	2.44073	2.14431	3.61457	1.90161	3.53784	2.1495	2.21462	3.33329	2.05713	2.93724
LOC101927023	1.11575	1	1	1	1	1	1.15388	1	1.17125	1	1	1
LOC101927027	11.2724	15.3371	9.73049	7.67573	2.04617	11.8779	17.7635	11.5515	4.93637	3.51231	13.9055	12.7214
LOC101927040	1	1.11643	1	1.04253	1	1	1	1.0315	1.02254	1.2211	1	1.03275
LOC101927043	2.56762	1.43401	1.33436	2.78764	1	2.66321	2.06343	1.25158	3.48126	1.56105	2.39389	1.54062
LOC101927045	3.30202	3.73891	2.51442	2.17094	3.5211	3.41943	3.65225	3.23905	2.15067	2.38334	3.92921	2.60648
LOC101927048	1	1	1	1.98165	1	1	1	1	5.16438	1	1	1
LOC101927051	1.05067	1.29218	1.151	1.28588	3.35026	1.04014	1.07499	1.05758	1.33098	1.84248	1.09464	1.05397
LOC101927053	1.02854	1	1	1.0594	1	1	1	1	1	1	1	1
LOC101927058	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927062	1	1	1	1	1	1	1	1.19704	1	1	1	1
LOC101927069	1	1.05521	1.02707	1.24207	1	1	1.23196	1.17928	1.21375	1.41929	1.02478	1.12425
LOC101927079	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927081	1	1	1	1.1973	1	1	1	1	1.35069	1	1	1
LOC101927087	1.03745	1.0711	1	1.10389	1	1	1	1	1.05509	1	1	1.04
LOC101927100	1	1.39455	1.26201	1.71819	1	1.18435	1.6907	1.42732	2.21022	1.41199	1	1.11095
LOC101927102	1	1	1.23353	1.5047	1	1	1	1.12915	1.09461	1.1914	1	1.10204
LOC101927112	1	1	1	1.02743	1	1	1	1	1	1.14225	1	1
LOC101927117	1.12739	1.94455	1.62675	1.22049	1	1.14947	1.60469	1.60883	1.36003	1	1.21369	1.45734
LOC101927120	1	1	1	1.18116	1	1.02016	1	1	1	1.04099	1	1
LOC101927123	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927124	1.11633	1.66256	1.43317	1.2419	1	1.15454	1.46392	1.23903	1.34273	1.21078	1.19824	1.06213
LOC101927129	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927131	1.02828	1.0537	1.02633	1.05886	1	1	1	1	1.02079	1	1	1
LOC101927132	1	1.04604	1	1	1	1.02148	1.12895	1	1	1	1	1.23313
LOC101927134	1	1.22589	1.02769	1	1	1	1.11863	1.03056	1	1	1.02534	1.03177
LOC101927136	1	1	1	1.02448	1	1	1	1.01812	1	1	1	1
LOC101927142	1	1	1	1	1	1	1.13759	1	1	1	1	1
LOC101927143	1	1	1	1.2084	1	1	1	1	1	1.18322	1	1
LOC101927150	1	1.12085	1	1	1	1	1	1	1	1	1	1
LOC101927151	5.03151	2.87489	3.64319	4.78972	4.13843	5.21317	3.15175	3.74654	4.75868	4.09174	5.58742	4.0616
LOC101927153	1	1	1	1.07079	1	1	1	1	1	1	1	1
LOC101927159	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927164	1	1.21705	1.27865	1.42305	1	1.05559	1	1	1.48683	2.12589	1.09945	1.2202
LOC101927166	1.05695	1	1	1.01975	1	1.07566	1	1.02926	1	1	1.09705	1
LOC101927178	1.52374	1	1.73829	2.0197	1	1	3.60287	1.95886	1.47541	2.04866	2.46937	1
LOC101927181	1.22051	1.23923	1.61584	2.22356	1.64694	1.1674	1.33502	1.51784	2.08838	2.02236	1.18789	1.33648
LOC101927190	1	1	1.01789	1.01333	1	1	1	1.01974	1	1.06914	1	1.02053
LOC101927196	1.2411	1.34339	1.12838	1.66892	1	1.16009	1.18333	1.14169	1.20332	1	1.1175	1.44194
LOC101927204	1.68975	1.32739	4.95972	3.27262	2.76984	1.6618	1.15282	4.75008	3.47137	2.81273	1.53875	1.42977
LOC101927207	1	1	1	1	1	1	1	1	1	1	1.03226	1
LOC101927211	1.12075	1.22926	1.22555	1.25073	1	1.10695	1.16053	1.12478	1.08936	1.22139	1	1.12898
LOC101927217	1.44235	1.27995	2.09813	3.34574	1	1.78355	1.19602	1.45449	2.20269	1.27171	2.38203	1.78749
LOC101927229	1.0205	1	1	1.08533	1	1.01815	1	1	1.09034	1.03688	1	1
LOC101927230	1	5.88278	2.95888	1	1	1	4.72972	3.40215	1	1	1	2.99785
LOC101927237	1	1.38136	1.06233	1.02322	1	1	1.31153	1.10319	1	1	1	1.32183
LOC101927239	1	1.25526	1.12516	1.09317	1	1	1	1.13814	1.0991	1	1	1.14361
LOC101927242	1	1	1	1	1	1	1	1	1	1.48889	1	1
LOC101927243	1	1	1	1	1	1	1	1	1	1.4523	1	1
LOC101927248	1.05391	1	2.58103	1	1	1.02388	1	2.13558	1	1	1	1
LOC101927257	1	1.25792	1.09485	1.02355	1	1.03008	1.04515	1.06979	1	1.4901	1	1.18138
LOC101927267	1.03352	1.05883	1.22548	1.79036	1	1.07041	1.18931	1.14459	1.02666	1.19661	1.04394	1.14817
LOC101927269	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927272	1.06485	1.24623	1.12074	1.15767	1	1.11487	1.17241	1	1.28012	1.17962	1.11051	1.06927
LOC101927273	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927274	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927275	1.18311	2.2178	2.10799	2.71207	1	1.2432	2.21709	2.22285	1.55993	1.33387	1.15602	1.68454
LOC101927280	1	1	1	1	1	1	1.0783	1	1	1	1.03346	1.04194
LOC101927282	1.03336	1	1.03106	1	1	1.02955	1.04435	1.13712	1	1	1	1
LOC101927284	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927285	1	1	1	1.02222	1	1	1	1.03291	1	1	1	1
LOC101927286	1.07712	1.43924	1.25127	1.05348	1	1	1.30756	1.27732	1	1	1	1.2883
LOC101927292	1	1.03773	1	1	1	1	1.02642	1	1	1	1	1
LOC101927310	1	1	1	1	1	1	1	1.05054	1	1	1	1
LOC101927311	1	1	1	1.0723	1	1	1.13882	1	1	2.90863	1	1
LOC101927314	1.09283	1	1.0576	1.10723	1	1.05477	1	1.06354	1	1.05574	1.05269	1
LOC101927318	1	1	1.22118	1	1	1	1	1	1	1	1	1
LOC101927322	1.41039	1	1.87325	1.40019	1	1.46732	1.31175	2.14448	1.42475	1.10624	1.59947	1.18787
LOC101927323	1	1	1.31175	1.52157	1	1.29659	1.44518	1.68813	1	1	1	1.35766
LOC101927332	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927334	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927347	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927348	1	1	1	1	1	1	1	1	1	1	1	1.09205
LOC101927354	1.21072	1.40007	1	1.07295	1	1.09331	1	1.10825	1	1.38522	1	1.11254
LOC101927356	1	1.04714	1	1	1	1	1.03301	1	1	1	1	1
LOC101927364	17.3709	1.47818	1	1	1	17.5069	1	1	1	1	26.9674	1.53805
LOC101927374	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927378	1	1	1	1	1	1	1.02	1	1	1	1	1.18864
LOC101927379	1	1	1	1.02811	1	1	1	1	1	1	1	1
LOC101927391	1.37227	1.45437	2.06445	1.59027	2.63691	1.21196	1.60095	1.81962	1.66438	1.76642	1.29455	1.9089
LOC101927394	1.02367	1	1.02204	1.09854	1	1	1.03147	1.07297	1	1	1	1.05057
LOC101927406	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927410	1	1	1	1	1	1	1	1.01793	1	1	1	1
LOC101927411	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927415	1.05608	1.31941	1.28713	1.52515	1	1.149	1.52185	1.23047	1.92732	1.30314	1.07168	1.1198
LOC101927418	1	1	1	2.73392	1	1	1	1	2.25553	1	1	1
LOC101927421	1	1.27579	1	1	1	1	1	1	1	1	1	1
LOC101927431	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927437	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927438	1	1.06267	1.03073	1.02289	1	1	1.04388	1.03391	1	1	1	1.03526
LOC101927446	1	1	1	1	1	1	1	1	1	1.04292	1	1
LOC101927450	1	1	1	1	1	1	1.03516	1.05435	1	1	1	1.02825
LOC101927457	1	1	1	1.16917	1	1	1	1.08363	1	1	1	1
LOC101927460	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927464	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927468	1	1	1	1.1013	1	1	1	1.05004	1.10754	1	1	1
LOC101927476	1	1	1	1.14557	1	1.01858	1	1	1.55484	1	1	1
LOC101927478	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927482	1.14556	1	1	1.1009	1.99983	1.25789	1.06446	1	1.3215	1.08773	1.32789	1.05178
LOC101927488	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927492	1.7184	1	1.61093	1.65758	1	1	1	1.96861	1.33077	1	1.17414	1
LOC101927495	1	1	1.15311	1.17113	1	1	1	1.08449	1.08058	1	1	1
LOC101927497	4.86072	3.44331	1	1.55326	1	4.19139	5.79023	1.26444	1.96218	1.96879	3.41242	3.47428
LOC101927501	1.31895	1.27525	1.48587	1	1	1.20544	1.03855	1.62561	1	1	1.29648	1.18583
LOC101927502	1	1	1.04392	1.03271	1	1.04178	1	1.04847	1	1	1.0402	1
LOC101927524	1.06197	1	1.05769	1.12895	1	1.05489	1	1.06367	1	1.16759	1.0528	1
LOC101927526	1	1	1	1.19061	1	1	1	1	1	1	1	1
LOC101927539	1	1	1	1.03394	1	1	1	1.05029	1	1	1	1
LOC101927550	1.34891	1.43249	1.66068	2.70886	2.22096	1.27343	1.56061	1.81756	2.47219	2.37384	1.14569	1.55305
LOC101927557	1	1.31036	1.15218	1	1	1	1.21731	1	1	1.30214	1	1
LOC101927560	1	1	1	1.11389	1	1	1	1	1.16901	1.11846	1	1.03508
LOC101927571	1	2.54868	1.37968	2.12151	1	1	1.54219	1	1.92516	1	2.39009	2.30693
LOC101927572	1.50103	1.50751	1.75102	1.56363	1	1.46618	1	2.29668	1.58929	2.13809	1.6416	1.28399
LOC101927575	1	1	1	1	1	1.0288	1	1	1	1	1	1
LOC101927577	1	1	1	1.99142	1	1	1	1.16296	1.47083	1	1	1
LOC101927580	1	1.05239	1	1	1	1	1.0856	1	1	1	1	1.08843
LOC101927583	1.02761	1.14923	1.07317	1.25177	1	1.09282	1.10449	1.14432	1.04608	1.11017	1	1.26084
LOC101927587	1	1	1	1.04125	1	1	1	1	1	1	1	1
LOC101927592	1	1	1	1.50317	1	1	1	1	1.15267	1.09383	1	1
LOC101927599	3.37795	3.48549	3.04138	5.06705	4.51115	4.15927	4.0479	2.65978	4.71701	2.69232	3.2024	4.06913
LOC101927604	2.1936	1.18885	2.11117	1.55103	1	2.85	2.45453	2.32855	1.29397	1.18164	2.27131	1.9562
LOC101927616	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927619	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927620	1	1.5111	1.1253	1.09328	1	1	1.35787	1	1	1.12216	1	1
LOC101927621	1.69494	1.65929	1.24246	3.37617	2.8004	1.99955	1.80788	1.53561	5.0602	2.26522	1.85242	1.27819
LOC101927623	1.10489	1	1	1.03638	1	1.02322	1.03486	1.08083	1.07708	1.04723	1	1
LOC101927630	1	1	1	1.17015	1	1	1	1	1.1842	1	1	1
LOC101927631	2.54842	4.55901	2.89673	3.5383	1	1.93822	3.6002	3.00963	3.58416	2.48316	2.11103	3.26356
LOC101927637	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927641	1	1	1	1	1	1	1	1	1.02013	1	1	1
LOC101927642	1	1	1	1.21807	1	1	1	1	1.0776	1	1	1
LOC101927650	1	1	1	1	1	1.38078	1	1.66259	1	1	1.36634	1.22961
LOC101927651	1	1	1.00001	1	1	1.10131	1	1.00001	1	1	1.00001	1
LOC101927653	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927661	1	1	1	1.37211	1	1	1	1	1	1	1	1
LOC101927666	1.0298	1.01886	1.00925	1	1	1.01759	1	1.03061	1	1	1.04231	1.01061
LOC101927667	1.16531	1.07254	1.80541	1.78795	1	1.14678	2.05807	1.85381	1.22481	1.50172	1.35215	1.44582
LOC101927668	2.83367	7.46021	23.0095	1.35098	1	5.01284	8.57434	22.8921	1.74992	2.03956	7.39223	6.87782
LOC101927678	1.05529	1	1	1	1	1	1	1	1	1	1	1
LOC101927683	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927688	1	1.02814	1.42598	1.86211	1	1	1	1	1.21925	1.24009	1	1
LOC101927691	1	1	1	1.12924	1	1.04714	1.03538	1.05469	1.03912	1	1.04536	1.11372
LOC101927694	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927697	1	1	1	1.02312	1	1	1	1	1.01223	1.02995	1	1
LOC101927698	1	1	1	1.11626	1	1	1	1	1.35457	1	1	1.17961
LOC101927700	1	1	1	1	1	1	1	1	1	1	1.01196	1
LOC101927701	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927709	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927718	1	1	1	1	1	1	1	1.11469	1	1.39143	1	1
LOC101927720	7.11308	2.98964	3.60156	3.23819	4.62257	7.03298	2.97362	4.40958	3.70755	2.27287	7.0274	2.49249
LOC101927722	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927728	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927730	1	3.61116	1.12593	1.44199	1	1	5.29752	1.14568	1.44145	1.24174	1	4.33883
LOC101927735	1	1	1	1	1	1	1	1.04464	1	1	1	1
LOC101927740	1	1	1	1.1225	1	1	1	1	1.04864	1.4767	1	1
LOC101927746	10.8361	11.9111	86.8071	2.53023	1	15.5847	13.9291	83.5515	3.86039	2.01123	17.0091	12.2147
LOC101927750	1.09748	1	1	1.0675	1	1	1	1	1	1.17794	1	1
LOC101927755	1.9047	2.1695	1.70802	1.73258	1	1.6101	1.87017	1.63155	1	3.50256	2.07138	1.85087
LOC101927766	1	1	1.01012	1	1	1	1	1.01117	1	1	1	1
LOC101927769	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927770	1.06734	1.83102	1.40748	2.07421	1	1.05964	2.07424	1.62268	2.01497	1.24293	1.08607	1.82717
LOC101927780	1	1	1	1.00823	1	1	1.01577	1	1	1.08525	1	1.20418
LOC101927795	1	1	1	1.11062	1	1	1	1	1	1	1	1
LOC101927796	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927797	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927811	4.25444	1.36409	4.03512	3.25996	4.98374	3.79097	1.63735	4.44826	3.4388	4.15468	5.16706	1.20483
LOC101927814	1	1	1	1	1	1	1	1	1	1	1	1.05552
LOC101927817	1	1	1.06778	1.07574	1	1	1.14519	1	1	1.1314	1	1.03888
LOC101927821	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927829	1	1	1	1.02216	1	1	1	1	1	1	1	1
LOC101927835	1	1	1	1.25667	1	1	1	1	1	1	1	1
LOC101927839	1	1.21933	1	1	1	1	1	1	1	1	1	1
LOC101927843	1	1	1	1.64528	1	1	1	1	1.0625	1	1	1
LOC101927844	1	1	1	1	2.27819	1	1	1	1	1	1	1
LOC101927847	1	1	1	1.12404	1	1	1	1	1	1	1	1
LOC101927865	1	1.5613	1.27522	1	1	1.13092	1.78604	1.60751	1.54807	1	1.25191	1.15789
LOC101927869	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927870	1	1	1	1	1	1	1	1	1	1	1	1.02487
LOC101927873	1.57606	2.0937	1	1.29938	1	1.12755	2.05298	1	1	1	1.18407	3.38433
LOC101927881	1.19849	1.12562	1.43115	1	1	1.0586	1.08796	1.54382	1	1	1.2255	1.21201
LOC101927884	1	1	1	1	1	1	1.07953	1	1	1.6506	1	1
LOC101927900	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927901	1	1	1.01864	1.93074	1	1	1	1.04114	3.0148	1	1	1.06416
LOC101927905	1.11087	1	1.5195	1.78831	1	1.27978	1	1.07913	2.90331	3.47985	1	1.22323
LOC101927907	1	1	1	1	1	1	1.09838	1	1	1	1	1.23714
LOC101927911	1	1	1.07404	1.07472	1	1	1	1.02755	1.01869	1.31738	1	1.02941
LOC101927914	1	1.02898	1.01421	1.02118	1	1	1	1.01568	1	1	1	1.0163
LOC101927917	1	1	1	1.02313	1	1	1	1	1	1	1	1
LOC101927919	1.28469	1.07721	1.45433	1.0564	1	1.28816	1.1622	1.08357	1	1	1.24258	1.34753
LOC101927921	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927922	1	1	1	1.6048	1	1	1	1	1	1	1	1
LOC101927924	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927926	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927931	1.42835	1	1	1.44372	5.54445	1.18969	1	1.4401	1	1.39973	1.1825	1
LOC101927934	1	1	1	4.64431	5.02334	1.0575	1	1	5.4971	14.5448	1	1.06934
LOC101927948	1	1	1	1	1	1	1	1	1	1	1	1
LOC101927950	1	1	1	1.06773	1	1	1	1	1	1	1	1
LOC101927967	1	1	1	1.08605	1	1	1.49586	1	1	1	1	1
LOC101927987	1.1262	1	1	1	1	1	1	1	1	1	1.21507	1
LOC101927990	1	1	1.02478	1	1	1	1	1	1	1	1	1
LOC101928001	1	1	1	1.07064	1	1	1	1.10468	1	1.27655	1	1
LOC101928002	1	1	1.02341	1.01744	1	1	1	1	1	1	1	1
LOC101928008	1.15403	1.29244	1.43017	1.21304	1	1	1.20476	1	1	1	1	1.16452
LOC101928009	1	1	1	1	1	1	1	1	1	1	1	1
LOC101928012	1	1	1	1	1	1	1	1	1	1	1	1
LOC101928020	1.35089	2.08842	1.61248	2.45735	1.90277	1.1984	2.18542	1.55486	2.29092	1.23781	1.18687	2.14356
LOC101928030	1	1	2.3654	1	1	1	1	1.50231	1	1	1	1.52221
LOC101928035	1	1	1	1	1	1	1	1	1	1	1	1
LOC101928036	1	1	1	1	5.86499	1	1	1	1	1	1	1
LOC101928043	1	1	1.11059	1.24668	1	1	1.15793	1	1.0879	1	1.10127	1.25378
LOC101928048	1	1	1	1	1	1	1	1	1	1	1	1
LOC101928053	1.55079	1.20914	1.58966	1.21014	1	1.46343	1.36611	1.5659	1.3643	1.09924	1.61011	1.41182
LOC101928062	4.38097	5.7589	5.38644	5.01071	9.96188	3.00992	5.84276	6.16739	4.4693	3.67665	4.16692	3.49855
LOC101928063	1.52717	1.26699	1.25329	1.42826	1	1.49253	1.13948	1.25849	1.34446	1.2989	1.33993	1.05431
LOC101928068	1.12675	1.0722	1.83779	1.75039	1.51892	1.13471	1.30331	1.65115	2.17613	1.63768	1.16201	1.17601
LOC101928075	1.02144	1.08142	1.29942	1.01488	1	1	1.11402	1.37451	1	1	1.01827	1.34355
LOC101928093	1	1	1	1	1	1	1	1	1	1	1	1
LOC101928100	1.08939	1.18632	1	2.08402	1	1	1.07299	1.06888	2.01757	1.36204	1	1.05827
LOC101928103	1.17295	1.4378	1.26834	1.3399	1	1.20423	1.30655	1.29615	1.88978	1.10389	1.22105	1.21552
LOC101928104	1	1	1.02265	1	1	1	1	1	1	1	1	1.02599
LOC101928107	1	1	1	1	1	1	1	1.05248	1	1	1	1
LOC101928113	1.06435	1	1	1.17839	1	1	1.08554	1	1	1	1	1.13747
LOC101928122	1	1	1.13069	1	1	1	1	1	1	1	1.11962	1
LOC101928128	1	1.21345	1	1.15565	1	1	1.29891	1	1.49887	1	1	1
LOC101928134	1	1	1	2.18327	1	1	1	1.23185	1	1	1	1
LOC101928135	1	1	1	1	1	1	1	1	1	1	1	1
LOC101928136	1	4.04421	2.04487	1.55436	1	1	2.70524	1.65896	1.23802	1.88857	1	1.85634
LOC101928137	1	1.10591	1	1.03867	1	1	1.07416	1	1	1	1	1.05959
LOC101928138	1	1	1	1	1	1	1	1	1	1	1	1
LOC101928154	1	1	1	1.15132	1	1	1	1	1.56563	1.39986	1	1
LOC101928158	1	1	1	1.17903	1	1	1.55329	1.12908	1	1.38794	1	1
LOC101928161	2.25624	1	2.00241	1.12404	1	1.79473	1.47715	2.4751	1	1	1.61167	1
LOC101928162	1	1	1	1.07321	1	1	1	1	1	1	1	1
LOC101928163	1.05822	1	1.0542	1.04133	1	1	1	1	1	1.1055	1	1
LOC101928167	1	1	1	1	1	1	1	1	1.10388	1	1	1
LOC101928168	1	1	1	1	1	1	1	1	1	1	1	1
LOC101928174	1	1	1.02165	1	1	1	1.03092	1.0239	1	1.04188	1	1.02485
LOC101928200	1	1	1.04005	1.56685	1	1	1	1	1.06331	1	1	1
LOC101928201	1	1	1	1	1	1	1	1	1	1	1	1
LOC101928203	1	1	1	1	1	1	1	1	1.02163	1	1	1
LOC101928205	1	1	1.05878	1.0241	1	1	1	1.03243	1.06962	1.05692	1	1
LOC101928211	1	1	1	1.11271	1	1	1	1	1	1	1	1
LOC101928222	1.37221	2.41337	1.63527	1.17199	1	2.15382	2.81433	1.76486	1.27425	1.11249	1.74004	2.52406
LOC101928227	1	1	1	1	1	1	1	1	1	1	1	1
LOC101928241	1	1	1	1	1	1	1	1	1	1	1	1
LOC101928243	1.45452	1.58132	1.32279	1.52635	1	1.61483	1.23047	1.10546	1.34827	1.38883	1.54844	1
LOC101928244	1	1	1	1	1	1	1	1	1	1	1	1.24016
LOC101928248	1	1	1	1.15746	1	1	1	1	1.25236	1.13624	1	1
LOC101928254	1	1.07296	1.03577	1	1	1	1.13655	1.03948	1	1	1	1.12315
LOC101928259	1	1	1	1	1	1	1	1	1	1	1	1
LOC101928266	1	1.02038	1.00999	1.05214	1	1.04753	1.17122	1.01103	1.03151	1.15422	1.00915	1.1605
LOC101928269	1	1	1	1	1	1	1	1	1	1	1	1
LOC101928273	1	1	1	1	1	1	1	1	1	1	1	1
LOC101928283	1.09527	1	1.04435	1	1	1	1	1.04894	1	1	1	1.05088
LOC101928290	1.27679	1	1.30235	3.65167	1	1.2406	1	1.32467	3.37371	1.57646	1.22291	1
LOC101928292	1	1	1	1	1	1.0192	1	1	1	1	1	1
LOC101928295	1.19185	1.32782	1.51794	1.02662	1	1.08496	1.20403	1.25625	1	1.06902	1.44137	1.10246
LOC101928303	1.06715	1.25497	1.6876	1.4188	13.4892	1.17841	1.35705	2.37977	2.78171	2.34062	1.05721	1.21517
LOC101928333	1	1	1	1	1	1	1	1	1	1	1	1
LOC101928335	1.06223	1	1.11587	1	1	1.02756	1.04137	1.19182	1.04575	1	1	1.03324
LOC101928336	1	1	1	1	1	1	1.11537	1	1	1	1	1.04635
LOC101928340	1.29269	1	1.13624	1	1	1	1	1	1	1.26962	1	1.15632
LOC101928358	2.50156	1.35635	2.63083	1.04336	1	2.99484	1.41586	2.86417	1	1	2.70594	1.40097
LOC101928363	1.0605	1	1	1.08387	1	1	1.08043	1.12432	1.08914	1	1	1
LOC101928370	1.05816	1	1	1.08063	1	1.05151	1	1	1.21421	2.58087	1.09912	1.12425
LOC101928371	1	1	2.06566	1	1	1.09681	1	2.01756	1	1	1.09358	1
LOC101928372	1.06252	1.60297	1.03048	1	1.67407	1.08354	1.77916	1.06328	1	1.47358	1.05404	1.74876
LOC101928378	5.6368	6.96359	9.11166	11.6897	28.9938	3.89024	7.87567	7.2943	10.8346	11.0249	2.8947	10.9457
LOC101928386	1	1	1.19351	1.14404	1	1	1.27633	1.0712	1	1	1	1
LOC101928388	1	1	1.02381	1.06662	1	1	1	1.02627	1	1	1	1
LOC101928398	1	1	1	1	1	1	1	1	1	1	1	1
LOC101928401	1	1	1	1	1	1	1	1	1	1	1	1
LOC101928404	1.02429	1.09174	1	1	1	1.04292	1.06424	1	1	1	1.0208	1.07742
LOC101928414	1	1.47615	1	1	1	1	1	1	1.09283	2.15053	1	1.13394
LOC101928416	1	1	1	1	1	1	1	1	1	1	1	1
LOC101928417	1	1	1	1	1	1	1	1	1	1	1	1
LOC101928418	1	1	1	1	1	1	1	1	1	1	1	1.06676
LOC101928420	1	1	1.10366	1	1	1	1	1.0572	1	1	1	1.14949
LOC101928435	1	1	1.03919	1.08758	1	1	1	1	1.06194	1.07606	1	1
LOC101928436	1	1	1	1	1	1	1	1	1	1	1	1
LOC101928437	1	1.09636	1.15749	1.01174	1	1	1.15743	1.27811	1	1	1	1.09035
