Genes	AS1	D4CF1	ES1	FS1	AS1	D4CF2	ES2	FS2	AS3	D4CF3	DE3	ES3
ACAN	1.01407	1.02672	1.28827	1.32542	1	1.0374	1.03742	1.26753	1.03098	1.02526	1.02398	1.06765
ACAP1	1.10189	1.19344	4.2486	1.88349	22.9476	1.06768	1.20317	3.85257	2.70318	3.29374	1.10852	1.40811
ACAP2	18.3381	30.9908	17.8465	15.4822	11.3393	20.1837	30.6009	18.9436	14.4039	9.33403	22.6578	27.6455
ACAP3	2.48573	2.44174	2.38313	15.1804	54.7645	2.73988	2.51426	2.44169	16.0798	14.446	1.70332	4.79112
ACAT1	25.6604	29.8656	37.8563	13.4017	102.147	26.2075	30.0239	37.5216	8.73357	19.5274	34.5272	18.8637
ACAT2	134.673	149.423	251	17.5595	13.4079	119.858	161.098	247.418	13.6827	35.5048	169.47	127.335
ACBD3	25.2359	39.1572	23.172	23.2313	17.0974	26.9963	39.7648	22.8152	22.8369	16.7947	32.408	30.5057
ACBD4	1.88589	1.68753	3.22554	8.42876	263.058	2.10915	1.93529	3.26528	9.20859	12.8651	1.79113	3.04943
ACBD5	17.8086	13.1686	11.1345	18.4361	35.5224	17.5423	13.5692	10.8681	22.0715	17.3315	21.2839	11.9052
ACBD6	24.8984	18.9915	36.9836	15.2952	9.55091	23.4914	18.7361	41.952	16.0741	11.436	25.4008	16.0942
ACBD7	7.04288	4.41374	15.0294	2.26038	1.37982	6.86098	3.75992	15.9885	1.6126	2.2003	8.43928	3.81155
ACCS	1.52577	1.99899	2.33854	11.7358	11.813	1.23759	2.02603	2.15331	10.8487	3.41755	1.127	3.13623
ACCSL	1	1	1.06762	1.02519	1	1	1	1	1	1	1	1.03879
ACD	4.2937	2.98422	4.02215	8.36005	9.45584	4.5062	2.1182	4.6444	11.0787	5.31721	2.91596	6.45384
ACE	1.1598	1.23383	1.30439	14.4169	184.514	1.07636	1.25548	1.35655	80.9921	32.5133	1.09446	1.38157
ACE2	1.19544	2.24814	1.03308	70.1959	86.9088	1.11016	3.00771	1.09128	180.894	29.2156	1.06056	1.51242
ACER1	1	1	1	1	1	1	1	1	1	1	1	1
ACER2	3.14977	1.79947	5.27082	4.1366	1.90883	3.10029	1.91334	5.78184	3.08395	2.19672	3.54939	2.53873
ACER3	8.70234	14.6647	9.89444	5.09852	3.87251	6.95197	15.1561	9.04341	4.28577	9.32076	8.59115	11.1754
ACHE	1.06595	2.05817	1.15876	8.63667	5.71481	1.28575	2.05282	1.13141	2.68102	12.4207	1.16784	4.22699
ACIN1	78.4815	89.3647	95.7598	50.23	43.7445	76.1403	98.6861	91.9166	61.3562	47.8055	67.2731	108.396
ACKR1	1.22631	1	1.48455	2.82765	6.83129	1.11525	1.04325	1.53478	2.41541	132.079	1.14459	1.03475
ACKR2	1.06388	1	1	1.76821	1.43654	1.11316	1.14154	1.08751	1.84466	2.57118	1.09072	1.2502
ACKR3	10.9358	52.8908	1.3746	28.0727	3.54249	11.6367	60.7471	1.54063	45.8691	48.9908	6.77598	67.1239
ACKR4	1.05101	1.20147	1.31295	1.19467	3.8193	1	1.35745	1.34965	1.24365	8.77167	1.0652	1.1907
ACLY	103.74	86.7497	158.589	32.5174	50.3016	112.163	92.4644	157.842	42.7728	31.1653	110.448	109.02
ACMSD	1	1.10652	1.21228	2.05191	1	1.05208	1.08136	1.12462	1.04326	1	1.0502	1.06465
ACN9	16.4237	8.45614	16.1841	5.39342	12.0577	17.4094	7.35755	14.7319	7.30951	12.2499	22.4542	5.93906
ACO1	20.9892	33.6201	42.0895	18.7049	34.7971	21.6727	32.6128	44.7981	44.1288	25.9333	23.2664	32.4366
ACO2	21.422	12.8098	17.7091	47.4513	225.368	21.6983	12.3695	17.2402	107.631	58.3043	15.8105	19.9063
ACOT1	1	1.23893	1.27336	1.61086	11.3571	1.03715	1.22306	1.3017	2.63565	3.1219	1	1.26884
ACOT11	1.19203	1.31984	1.61405	12.4316	65.2216	1.3605	1.28827	1.34185	16.3385	22.025	1.23618	1.57617
ACOT12	1.49316	1.12485	1.06124	1.02284	1.67538	1.4659	1.08741	1.06761	1.12087	1	1.84044	1.07025
ACOT13	9.58236	10.0064	13.8121	11.7437	6.31014	11.3884	8.81771	13.4239	8.62819	8.48658	11.6129	8.14023
ACOT2	1	3.0607	3.51572	7.22095	27.8106	1	1.97073	2.84084	10.3208	9.95342	1	2.23913
ACOT4	1	1.54618	1.57388	1.51297	20.4452	1	1.1639	1.76004	3.02559	6.27043	1	1.35118
ACOT6	1	1	1.7512	1.05083	1	1.12994	1.19504	1.52759	1.05409	1.1333	1.06251	1.23507
ACOT7	17.5387	13.4312	28.497	19.5242	87.9183	13.9727	12.0254	28.0087	11.3507	40.5634	13.522	21.668
ACOT8	4.08219	4.4059	7.84371	13.3843	57.1737	3.77058	4.56957	5.48995	12.1092	23.2493	2.55879	6.83842
ACOT9	25.2041	35.4094	38.6151	9.89478	39.7238	26.78	37.4008	34.816	7.39498	5.88743	31.6184	26.6859
ACOX1	5.73678	25.1262	6.06137	16.1064	51.4189	5.23411	25.0369	6.36464	18.9833	15.8327	5.06552	21.1078
ACOX2	1.25091	1.79398	1.85649	13.493	26.177	1.66669	1.92657	1.54425	29.8695	8.13324	1.38009	2.13162
ACOX3	4.13504	28.7483	4.19149	6.83571	6.40785	4.53685	24.0861	3.80395	7.37463	6.72444	4.07491	40.3137
ACOXL	1.08117	4.03082	9.13582	1.20646	1	1.04793	3.66171	10.007	1.25849	1.14623	1.04611	4.43918
ACP1	119.709	77.3907	115.902	48.5119	87.977	122.011	75.069	119.518	65.1639	67.0556	132.036	63.5734
ACP2	11.3927	7.01977	4.49828	22.5902	55.846	10.4192	7.43961	4.01634	46.1577	40.8109	9.38017	7.3344
ACP5	1.23104	1.61412	3.58108	28.8535	23.8251	1.40926	1.55287	2.61423	90.6328	21.1346	1.37673	1.78973
ACP6	7.95161	6.07091	11.0479	9.19586	7.76871	9.32798	5.71797	10.0219	10.5787	9.98022	8.85625	6.43221
ACPP	1.34866	5.34843	1.65391	1.47606	1.74322	1.28223	5.66631	1.82644	1.37901	2.91291	1.1316	6.32123
ACPT	1	1	1.0478	1.07119	1	1.09095	1	1	1	1	1	1.05484
ACR	1.05033	1.09556	1	1.20937	1	1.13373	1	1	1.33346	1	1	1
ACRBP	1.17445	1.19873	1.42226	1.82275	3.86795	1.40172	1.46383	1.17924	1.76966	2.44783	1.17838	1.40995
ACRC	1.33553	2.83599	1.66136	1.58871	2.61772	1.22723	3.64954	1.58802	1.52177	2.27808	1.38694	3.12897
ACRV1	2.21986	1.2295	2.46718	1.33513	1	1.9093	2.10945	2.12187	1.23658	1.46591	1.92693	1.41176
ACSBG1	1.1698	1.08055	1.94871	1.6039	1	1.07515	1.11284	2.21637	1.1871	1.38204	1.18086	1.04526
ACSBG2	1.10228	1.1942	1.16664	1.17739	1.52462	1.13589	1.20396	1.05254	1.35701	1.04605	1.10894	1.16388
ACSF2	10.4374	10.6674	5.12136	25.5887	139.656	13.0006	9.51595	4.45605	33.2944	8.10512	10.2346	14.7218
ACSF3	3.12069	2.00692	3.1504	6.16512	22.9543	2.82011	2.27893	2.90945	8.85285	14.4654	2.37856	3.17156
ACSL1	3.23548	2.62979	7.38219	6.34257	9.45354	1.83338	3.50181	6.93639	5.17176	39.3596	2.67389	2.79858
ACSL3	33.3414	44.2461	57.6283	13.7379	6.63746	32.5445	43.8595	59.7913	12.8964	13.1108	40.1887	33.2965
ACSL4	23.1031	17.9706	36.3026	8.04684	7.2315	24.7831	16.9462	39.9512	5.45228	16.555	32.3374	15.4385
