Gene	Sample	RPKM
CHKA	Fetal-SI	36.4739
CHL1	Adult-SI	2.28048
CHL1	D4CF	2.19438
CHL1	ESC	0.0343361
CHL1	Endo	16.4954
CHL1	Fetal-SI	5.6547
CHRM5	Adult-SI	0.0260053
CHRM5	D4CF	0.0373011
CHRM5	ESC	0.0201144
CHRM5	Endo	0.0641135
CHRM5	Fetal-SI	0.244981
CITED4	Adult-SI	1.29666
CITED4	D4CF	1.15308
CITED4	ESC	1.62799
CITED4	Endo	0.115211
CITED4	Fetal-SI	4.89322
CLCA3P	Adult-SI	0
CLCA3P	D4CF	0
CLCA3P	ESC	0.0215346
CLCA3P	Endo	0.00650641
CLCA3P	Fetal-SI	0.0171949
CLCC1	Adult-SI	5.41382
CLCC1	D4CF	14.2648
CLCC1	ESC	9.33697
CLCC1	Endo	10.5737
CLCC1	Fetal-SI	9.85456
CLEC9A	Adult-SI	0.0503668
CLEC9A	D4CF	0.0344739
CLEC9A	ESC	0.0103583
CLEC9A	Endo	0
CLEC9A	Fetal-SI	0.503074
CLLU1	Adult-SI	0.139032
CLLU1	D4CF	0
CLLU1	ESC	0.0151362
CLLU1	Endo	0
CLLU1	Fetal-SI	0.0109662
CLLU1OS	Adult-SI	0
CLLU1OS	D4CF	0
CLLU1OS	ESC	0
CLLU1OS	Endo	0
CLLU1OS	Fetal-SI	0.0333101
CLOCK	Adult-SI	2.81322
CLOCK	D4CF	6.0112
CLOCK	ESC	6.41933
CLOCK	Endo	7.70928
CLOCK	Fetal-SI	5.63723
CLYBL	Adult-SI	3.38969
CLYBL	D4CF	1.79562
CLYBL	ESC	3.09889
CLYBL	Endo	0.723525
CLYBL	Fetal-SI	1.23651
CMAS	Adult-SI	133.942
CMAS	D4CF	37.8978
CMAS	ESC	58.1083
CMAS	Endo	41.0209
CMAS	Fetal-SI	34.0007
CMPK1	Adult-SI	215.99
CMPK1	D4CF	29.0408
CMPK1	ESC	28.3597
CMPK1	Endo	36.6105
CMPK1	Fetal-SI	53.7365
CNTN1	Adult-SI	0.378989
CNTN1	D4CF	0.894705
CNTN1	ESC	8.63564
CNTN1	Endo	2.65226
CNTN1	Fetal-SI	2.96786
COL3A1	Adult-SI	20.5433
COL3A1	D4CF	22.2022
COL3A1	ESC	0.173477
COL3A1	Endo	0.37531
COL3A1	Fetal-SI	489.532
COLEC11	Adult-SI	1.59102
COLEC11	D4CF	0.0155978
COLEC11	ESC	0.118132
COLEC11	Endo	0.143841
COLEC11	Fetal-SI	0.587891
CORO2B	Adult-SI	1.49743
CORO2B	D4CF	1.76116
CORO2B	ESC	2.31329
CORO2B	Endo	0.723678
CORO2B	Fetal-SI	3.32582
COX5A	Adult-SI	402.766
COX5A	D4CF	181.767
COX5A	ESC	254.295
COX5A	Endo	158.23
COX5A	Fetal-SI	89.7469
COX6C	Adult-SI	436.31
COX6C	D4CF	137.959
COX6C	ESC	121.21
COX6C	Endo	105.619
COX6C	Fetal-SI	79.5125
CPA2	Adult-SI	21.1022
CPA2	D4CF	0.302407
CPA2	ESC	0.211306
CPA2	Endo	0.475767
CPA2	Fetal-SI	4.57992
CPA5	Adult-SI	0
CPA5	D4CF	0.010263
CPA5	ESC	0.0278906
CPA5	Endo	0
CPA5	Fetal-SI	0.0113049
CPB2	Adult-SI	0
CPB2	D4CF	0.110515
CPB2	ESC	0.0260127
CPB2	Endo	0.0762864
CPB2	Fetal-SI	0.143103
CPO	Adult-SI	7.07404
CPO	D4CF	0.0169982
CPO	ESC	0.040857
CPO	Endo	0.0207685
CPO	Fetal-SI	0.619636
CPOX	Adult-SI	17.7135
CPOX	D4CF	32.3677
CPOX	ESC	17.2719
CPOX	Endo	7.24512
CPOX	Fetal-SI	12.0377
CPS1-IT1	Adult-SI	0.0175688
CPS1-IT1	D4CF	0
CPS1-IT1	ESC	0
CPS1-IT1	Endo	0
CPS1-IT1	Fetal-SI	0.226736
CPXCR1	Adult-SI	0
CPXCR1	D4CF	0
CPXCR1	ESC	0.0225822
CPXCR1	Endo	0
CPXCR1	Fetal-SI	0
CRB2	Adult-SI	0.0823036
CRB2	D4CF	6.47738
CRB2	ESC	0.792999
CRB2	Endo	0.068392
CRB2	Fetal-SI	0.546107
CSMD3	Adult-SI	0.0361031
CSMD3	D4CF	0.247428
CSMD3	ESC	0.0145009
CSMD3	Endo	0.0678247
CSMD3	Fetal-SI	0.456937
CSNK1A1L	Adult-SI	1.43172
CSNK1A1L	D4CF	6.72861
CSNK1A1L	ESC	6.37575
CSNK1A1L	Endo	6.46717
CSNK1A1L	Fetal-SI	1.72957
CSPP1	Adult-SI	6.14752
CSPP1	D4CF	7.69074
CSPP1	ESC	6.31194
CSPP1	Endo	8.96929
CSPP1	Fetal-SI	4.15625
CSRNP3	Adult-SI	0.363376
CSRNP3	D4CF	3.8405
CSRNP3	ESC	1.36685
CSRNP3	Endo	1.13249
CSRNP3	Fetal-SI	2.85346
CT62	Adult-SI	0.0227214
CT62	D4CF	0.0193285
CT62	ESC	0.098178
CT62	Endo	0
CT62	Fetal-SI	0.0354767
CTAGE4	Adult-SI	0
CTAGE4	Adult-SI	0.214712
CTAGE4	D4CF	0
CTAGE4	D4CF	0.00705338
CTAGE4	ESC	0
CTAGE4	ESC	0.00818396
CTAGE4	Endo	0
CTAGE4	Endo	0.0192723
CTAGE4	Fetal-SI	0
CTAGE4	Fetal-SI	0.093702
CTCFL	Adult-SI	0.0113298
CTCFL	D4CF	0.107861
CTCFL	ESC	0.519271
CTCFL	Endo	0.0225909
CTCFL	Fetal-SI	0.0199579
CTNNA1	Adult-SI	140.625
CTNNA1	D4CF	119.972
CTNNA1	ESC	148.547
CTNNA1	Endo	126.467
CTNNA1	Fetal-SI	108.667
CUX1	Adult-SI	21.2148
CUX1	D4CF	17.0936
CUX1	ESC	10.7176
CUX1	Endo	16.9411
CUX1	Fetal-SI	32.4178
CXCR4	Adult-SI	15.7311
CXCR4	D4CF	73.9747
CXCR4	ESC	1.14801
CXCR4	Endo	238.135
CXCR4	Fetal-SI	8.67151
CYP4A11	Adult-SI	1.34096
CYP4A11	D4CF	0.0182238
CYP4A11	ESC	0
CYP4A11	Endo	0
CYP4A11	Fetal-SI	0.150091
CYP4A22	Adult-SI	0
CYP4A22	D4CF	0
CYP4A22	ESC	0.0107011
CYP4A22	Endo	0
CYP4A22	Fetal-SI	0
CYTIP	Adult-SI	11.6855
CYTIP	D4CF	0.0590454
CYTIP	ESC	0.091588
CYTIP	Endo	0.147861
CYTIP	Fetal-SI	4.17116
DAD1	Adult-SI	204.041
DAD1	D4CF	167.824
DAD1	ESC	117.579
DAD1	Endo	193.622
DAD1	Fetal-SI	116.545
DCAF17	Adult-SI	3.79538
DCAF17	D4CF	11.1777
DCAF17	ESC	13.471
DCAF17	Endo	6.65408
DCAF17	Fetal-SI	6.35592
